Date,Depth,Treatment,YMo,Plot,ARQ,dC13_permil,CO2_ppm,UID,dC13corr_permil,Temp_C,VWC
3/5/14,30,Control,2014 3,1,NA,-24.1020259,9233.202001,1Control30,-28.99225059,7.2458125,0.299072917
3/5/14,30,Heated,2014 3,1,NA,-24.48149816,8333.138793,1Heated30,-29.45920995,NA,NA
3/5/14,50,Control,2014 3,1,NA,-24.81708687,10592.00088,1Control50,-29.6504619,6.841833333,0.355552891
3/5/14,50,Heated,2014 3,1,NA,-23.03709042,12697.16633,1Heated50,-27.72367866,11.109375,0.368149171
3/5/14,70,Control,2014 3,1,NA,-23.75417897,9007.673995,1Control70,-28.64573428,NA,NA
3/5/14,70,Heated,2014 3,1,NA,-22.452,13446.72437,1Heated70,-27.09966553,NA,NA
3/5/14,90,Control,2014 3,1,NA,-23.63310841,9759.865677,1Control90,-28.47052785,6.883083333,0.293488849
3/5/14,90,Heated,2014 3,1,NA,-23.15072716,9670.256476,1Heated90,-27.97466616,10.62083333,0.297320876
3/5/14,30,Control,2014 3,2,NA,-25.8055451,5131.856181,2Control30,-31.36748969,7.434354167,0.325190089
3/5/14,30,Heated,2014 3,2,NA,-25.30336656,5879.141313,2Heated30,-30.65379266,NA,0.304767827
3/5/14,50,Heated,2014 3,2,NA,-24.60092575,9354.79346,2Heated50,-29.50310569,11.55583333,0.32394703
3/5/14,70,Control,2014 3,2,NA,-24.39497926,10175.9041,2Control70,-29.23667521,NA,NA
3/5/14,70,Heated,2014 3,2,NA,-23.91755286,10012.07224,2Heated70,-28.75096785,NA,NA
3/5/14,90,Heated,2014 3,2,NA,-23.195,14221.71137,2Heated90,-27.84062318,11.385,0.24398731
3/5/14,30,Control,2014 3,3,NA,-25.5904497,11642.78875,3Control30,-30.39571847,7.2458125,0.299072917
3/5/14,50,Control,2014 3,3,NA,-24.71470369,11944.26976,3Control50,-29.47915872,6.841833333,0.355552891
3/5/14,70,Control,2014 3,3,NA,-23.935,12569.10059,3Control70,-28.65172849,NA,NA
3/5/14,90,Control,2014 3,3,NA,-24.52545985,12155.49556,3Control90,-29.27539976,6.883083333,0.293488849
4/21/14,30,Control,2014 4,1,NA,-23.34009886,8419.098908,1Control30,-28.25777623,10.68791667,0.27003335
4/21/14,30,Heated,2014 4,1,NA,-24.2,12754.81807,1Heated30,-28.91759776,14.67680556,NA
4/21/14,50,Control,2014 4,1,NA,-24,10117.58706,1Control50,-28.83042335,9.94,0.315804901
4/21/14,50,Heated,2014 4,1,NA,-24.6,9445.794213,1Heated50,-29.49580892,14.05541667,0.322859275
4/21/14,70,Control,2014 4,1,NA,-24.38726095,8369.3346,1Control70,-29.35740946,NA,NA
4/21/14,70,Heated,2014 4,1,NA,-23.69687049,8997.4334,1Heated70,-28.58671794,NA,NA
4/21/14,90,Control,2014 4,1,NA,-24.59800418,9075.1684,1Control90,-29.52035512,8.7275,0.279092608
4/21/14,90,Heated,2014 4,1,NA,-23.76370219,7008.75,1Heated90,-28.84193216,12.44,0.273966556
4/21/14,30,Control,2014 4,2,NA,-24.33388885,6179.640296,2Control30,-29.5645717,10.14791667,0.290618327
4/21/14,30,Heated,2014 4,2,NA,-24.14210845,7277.49212,2Heated30,-29.20955518,14.17166667,0.264442763
4/21/14,50,Control,2014 4,2,NA,-23.77375325,5622.758936,2Control50,-29.06566141,9.5175,0.340677159
4/21/14,50,Heated,2014 4,2,NA,-24.19415086,7862.217548,2Heated50,-29.20204426,13.8425,0.2860411
4/21/14,70,Control,2014 4,2,NA,-24.4,13285.84941,2Control70,-29.10472888,NA,NA
4/21/14,70,Heated,2014 4,2,NA,-24.2,10721.3736,2Heated70,-29.00489737,NA,NA
4/21/14,90,Control,2014 4,2,NA,-24.7001402,9223.9754,2Control90,-29.61576,8.716458333,0.297406625
4/21/14,90,Heated,2014 4,2,NA,-24.70655025,9690.8296,2Heated90,-29.5900869,12.648125,0.214631733
4/21/14,30,Control,2014 4,3,NA,-24.5,10984.73089,3Control30,-29.30182905,10.68791667,0.27003335
4/21/14,30,Heated,2014 4,3,NA,-23.9,10284.65146,3Heated30,-28.71739383,14.67680556,0.296654475
4/21/14,50,Control,2014 4,3,NA,-24.5,12058.71637,3Control50,-29.25312827,9.94,0.315804901
4/21/14,50,Heated,2014 4,3,NA,-23.7,14242.48684,3Heated50,-28.35758932,14.05541667,0.322859275
4/21/14,70,Control,2014 4,3,NA,-25,13457.2014,3Control70,-29.71499576,NA,NA
4/21/14,70,Heated,2014 4,3,NA,-24,12875.7436,3Heated70,-28.70770678,NA,NA
4/21/14,90,Control,2014 4,3,NA,-25.1,10747.1372,3Control90,-29.93475484,8.7275,0.279092608
4/21/14,90,Heated,2014 4,3,NA,-24.3,10199.8828,3Heated90,-29.13680837,12.44,0.273966556
5/29/14,30,Control,2014 5,1,NA,-23.03189698,9753.585529,1Control30,-27.84637178,13.86076923,0.273663458
5/29/14,30,Heated,2014 5,1,NA,-23.60089956,7581.005641,1Heated30,-28.60675862,14.90474359,NA
5/29/14,50,Control,2014 5,1,NA,-23.52698657,10130.89942,1Control50,-28.33909449,13.08153846,0.311875456
5/29/14,50,Heated,2014 5,1,NA,-23.47396509,7832.418792,1Heated50,-28.4488217,14.77230769,0.315406525
5/29/14,70,Control,2014 5,1,NA,-23.50498303,12729.85621,1Control70,-28.20376391,NA,NA
5/29/14,70,Heated,2014 5,1,NA,-23.2765998,12130.15576,1Heated70,-27.99005474,NA,NA
5/29/14,90,Control,2014 5,1,NA,-23.47790503,14934.75931,1Control90,-28.11216,11.43230769,0.273492713
5/29/14,90,Heated,2014 5,1,NA,-23.37362977,15261.65992,1Heated90,-27.99766707,13.93230769,0.262454872
5/29/14,30,Control,2014 5,2,NA,-23.30095501,6269.861903,2Control30,-28.45036485,12.42270833,0.292314505
5/29/14,30,Heated,2014 5,2,NA,-23.76625485,8922.527064,2Heated30,-28.66447656,16.22145833,0.272610166
5/29/14,50,Control,2014 5,2,NA,-23.04630184,3655.489071,2Control50,-28.86563508,11.700625,0.341463804
5/29/14,50,Heated,2014 5,2,NA,-23.85595699,12845.35226,2Heated50,-28.56067752,15.96458333,0.288932964
5/29/14,70,Control,2014 5,2,NA,-23.62666394,14585.26043,2Control70,-28.2732849,NA,NA
5/29/14,70,Heated,2014 5,2,NA,-23.84688528,17476.07434,2Heated70,-28.43519268,NA,NA
5/29/14,90,Control,2014 5,2,NA,-23.92559952,18387.24522,2Control90,-28.49951667,10.39416667,0.292116432
5/29/14,90,Heated,2014 5,2,NA,-23.95171703,18655.80209,2Heated90,-28.52171215,14.36875,0.205340078
5/29/14,30,Control,2014 5,3,NA,-23.80089568,14080.29479,3Control30,-28.46553576,13.86076923,0.273663458
5/29/14,30,Heated,2014 5,3,NA,-24.21858663,13158.75754,3Heated30,-28.92266356,14.90474359,0.302983071
