Date,Depth,Treatment,YMo,Plot,ARQ,dC13_permil,CO2_ppm,UID,dC13corr_permil,Temp_C,VWC
5/29/14,50,Control,2014 5,3,NA,-23.9481105,18639.45445,3Control50,-28.51830536,13.08153846,0.311875456
5/29/14,50,Heated,2014 5,3,NA,-24.15707201,20446.67642,3Heated50,-28.70401365,14.77230769,0.315406525
5/29/14,70,Control,2014 5,3,NA,-23.83236145,26129.52908,3Control70,-28.31553321,NA,NA
5/29/14,70,Heated,2014 5,3,NA,-24.34475885,23569.52005,3Heated70,-28.85747322,NA,NA
5/29/14,90,Control,2014 5,3,NA,-24.10960994,30676.50958,3Control90,-28.5641928,11.43230769,0.273492713
5/29/14,90,Heated,2014 5,3,NA,-24.23156316,26394.6569,3Heated90,-28.71707489,13.93230769,0.262454872
6/24/14,30,Control,2014 6,1,NA,-24.06982958,6408.965402,1Control30,-29.2473804,17.2075,0.215773501
6/24/14,30,Heated,2014 6,1,NA,-23.94448026,5306.944502,1Heated30,-29.31511583,20.84826389,NA
6/24/14,50,Control,2014 6,1,NA,-23.76883936,7618.04787,1Control50,-28.77961794,15.95770833,0.25549774
6/24/14,50,Heated,2014 6,1,NA,-23.59360876,8325.75069,1Heated50,-28.5306262,19.77708333,0.268976712
6/24/14,70,Control,2014 6,1,NA,-23.22884962,8937.668336,1Control70,-28.10290372,NA,NA
6/24/14,70,Heated,2014 6,1,NA,-23.54207925,9632.616913,1Heated70,-28.38364194,NA,NA
6/24/14,90,Control,2014 6,1,NA,-23.38164615,10386.05972,1Control90,-28.17485057,14.04625,0.253126495
6/24/14,90,Heated,2014 6,1,NA,-23.22472569,11864.45181,1Heated90,-27.94666038,17.28916667,0.233723785
6/24/14,30,Control,2014 6,2,NA,-23.9567322,5056.329854,2Control30,-29.38736993,14.46458333,0.211110804
6/24/14,30,Heated,2014 6,2,NA,-23.91375035,4666.159287,2Heated30,-29.44625801,18.27868056,0.207795
6/24/14,50,Control,2014 6,2,NA,-24.08773356,5529.758713,2Control50,-29.42142029,13.40541667,0.247955026
6/24/14,50,Heated,2014 6,2,NA,-23.23381943,7455.788811,2Heated50,-28.23321341,17.660625,0.238044288
6/24/14,70,Control,2014 6,2,NA,-23.68459046,10037.5073,2Control70,-28.50779322,NA,NA
6/24/14,70,Heated,2014 6,2,NA,-23.28567183,9543.520565,2Heated70,-28.12253266,NA,NA
6/24/14,90,Control,2014 6,2,NA,-23.61033707,13646.81882,2Control90,-28.2827117,12.06,0.269249225
6/24/14,90,Heated,2014 6,2,NA,-23.28776682,11135.23033,2Heated90,-28.04190015,16.05354167,0.187874112
6/24/14,30,Control,2014 6,3,NA,-23.58115662,6147.312723,3Control30,-28.76761715,17.2075,0.215773501
6/24/14,30,Heated,2014 6,3,NA,-24.07566241,7058.667802,3Heated30,-29.16543413,20.84826389,0.235205043
6/24/14,50,Control,2014 6,3,NA,-23.38063843,8084.069146,3Control50,-28.32815769,15.95770833,0.25549774
6/24/14,50,Heated,2014 6,3,NA,-23.271,11835.68219,3Heated50,-27.99548067,19.77708333,0.268976712
6/24/14,70,Control,2014 6,3,NA,-23.23404903,11355.11818,3Control70,-27.97689057,NA,NA
6/24/14,70,Heated,2014 6,3,NA,-23.874,16591.34484,3Heated70,-28.47992135,NA,NA
6/24/14,90,Control,2014 6,3,NA,-23.20595848,14666.91626,3Control90,-27.84040239,14.04625,0.253126495
6/24/14,90,Heated,2014 6,3,NA,-23.343,15474.25584,3Heated90,-27.96147386,17.28916667,0.233723785
7/29/14,30,Control,2014 7,1,NA,-23.42077191,6617.538107,1Control30,-28.52870707,19.68545455,0.198917964
7/29/14,30,Heated,2014 7,1,NA,-23.7657192,6723.996652,1Heated30,-28.88019403,23.35522727,NA
7/29/14,50,Control,2014 7,1,NA,-22.69358989,8545.281165,1Control50,-27.57213749,18.59431818,0.222639384
7/29/14,50,Heated,2014 7,1,NA,-23.96542525,9338.227101,1Heated50,-28.84284537,22.53795455,0.24099347
7/29/14,70,Control,2014 7,1,NA,-22.32500922,9757.813495,1Control70,-27.11183593,NA,NA
7/29/14,70,Heated,2014 7,1,NA,-23.72241522,10412.36788,1Heated70,-28.52651593,NA,NA
7/29/14,90,Control,2014 7,1,NA,-21.87291623,11016.57661,1Control90,-26.58475365,16.79022727,0.215449087
7/29/14,90,Heated,2014 7,1,NA,-23.66469305,13902.4069,1Heated90,-28.33097337,20.23636364,0.205753536
7/29/14,30,Control,2014 7,2,NA,-23.88795014,5121.534862,2Control30,-29.29703656,17.39145833,0.188742767
7/29/14,30,Heated,2014 7,2,NA,-23.20940368,4918.293379,2Heated30,-28.61180883,20.98777778,0.18729997
7/29/14,50,Control,2014 7,2,NA,-23.50595298,6233.863696,2Control50,-28.67403698,16.02791667,0.212942566
7/29/14,50,Heated,2014 7,2,NA,-23.29024741,6946.486196,2Heated50,-28.34897094,20.245,0.208871181
7/29/14,70,Control,2014 7,2,NA,-22.15531178,10151.90182,2Control70,-26.91548076,NA,NA
7/29/14,70,Heated,2014 7,2,NA,-23.52277393,9458.368663,2Heated70,-28.3744156,NA,NA
7/29/14,90,Control,2014 7,2,NA,-21.73348204,12049.00452,2Control90,-26.40324199,14.32083333,0.241744368
7/29/14,90,Heated,2014 7,2,NA,-23.33107528,10913.47012,2Heated90,-28.09671541,18.36083333,0.164458342
7/29/14,30,Control,2014 7,3,NA,-22.48978537,6137.276144,3Control30,-27.60577798,19.68545455,0.198917964
7/29/14,30,Heated,2014 7,3,NA,-23.3632835,7693.631742,3Heated30,-28.34576821,23.35522727,0.214540364
7/29/14,50,Control,2014 7,3,NA,-22.43434864,8128.903402,3Control50,-27.33268318,18.59431818,0.222639384
7/29/14,50,Heated,2014 7,3,NA,-23.36672412,9429.711077,3Heated50,-28.2138935,22.53795455,0.24099347
7/29/14,70,Control,2014 7,3,NA,-21.65333842,11120.67771,3Control70,-26.3537201,NA,NA
7/29/14,70,Heated,2014 7,3,NA,-23.7237527,9524.182655,3Heated70,-28.5792661,NA,NA
7/29/14,90,Control,2014 7,3,NA,-21.09070409,13330.04946,3Control90,-25.70512462,16.79022727,0.215449087
7/29/14,90,Heated,2014 7,3,NA,-23.15269585,15232.33842,3Heated90,-27.77237114,20.23636364,0.205753536
9/3/14,30,Control,2014 9,1,NA,-25.3804991,4975.831898,1Control30,-30.9509573,18.85354167,0.188354398
9/3/14,30,Heated,2014 9,1,NA,-23.50583042,4063.572098,1Heated30,-29.20210302,22.72833333,NA
9/3/14,50,Control,2014 9,1,NA,-24.74086635,6776.651582,1Control50,-29.90591257,18.11333333,0.212624544
9/3/14,50,Heated,2014 9,1,NA,-24.00880516,7240.152055,1Heated50,-29.07329429,22.32520833,0.230409667
9/3/14,70,Control,2014 9,1,NA,-24.84185626,7669.632616,1Control70,-29.90233264,NA,NA
9/3/14,70,Heated,2014 9,1,NA,-24.02317855,10888.89192,1Heated70,-28.81357174,NA,NA
9/3/14,90,Control,2014 9,1,NA,-24.61120639,8988.128053,1Control90,-29.54070585,16.90125,0.205219465
9/3/14,90,Heated,2014 9,1,NA,-22.784,12773.16361,1Heated90,-27.46093886,20.40416667,0.19731191
9/3/14,30,Control,2014 9,2,NA,-23.72918398,4251.286375,2Control30,-29.3786798,17.38625,0.178965718
9/3/14,30,Heated,2014 9,2,NA,-25.58531864,4129.075009,2Heated30,-31.4728997,21.01506944,0.181059529
9/3/14,50,Control,2014 9,2,NA,-24.2892248,5221.920326,2Control50,-29.7065615,16.36979167,0.201276977
9/3/14,50,Heated,2014 9,2,NA,-24.62510144,6566.734336,2Heated50,-29.81348646,20.57354167,0.204579708
9/3/14,70,Control,2014 9,2,NA,-24.19533988,8649.443795,2Control70,-29.1332774,NA,NA
9/3/14,70,Heated,2014 9,2,NA,-24.11839831,8407.59871,2Heated70,-29.07283605,NA,NA
9/3/14,90,Control,2014 9,2,NA,-23.461,12035.86189,2Control90,-28.18356999,15.09604167,0.235744395
9/3/14,90,Heated,2014 9,2,NA,-24.00025031,9490.116539,2Heated90,-28.86900531,19.04,0.15290649
9/3/14,30,Control,2014 9,3,NA,-25.13340532,5121.143703,3Control30,-30.64371379,18.86395833,0.188057956
9/3/14,30,Heated,2014 9,3,NA,-23.66705246,5091.001182,3Heated30,-29.06546404,22.68277778,0.20295856
9/3/14,50,Control,2014 9,3,NA,-24.79646933,6050.707856,3Control50,-30.08004077,18.15729167,0.212487252
9/3/14,50,Heated,2014 9,3,NA,-23.83937699,6606.236343,3Heated50,-28.9742347,22.354375,0.230260729
9/3/14,70,Control,2014 9,3,NA,-24.75254495,7835.090797,3Control70,-29.79099998,NA,NA
9/3/14,70,Heated,2014 9,3,NA,-23.013,9146.252416,3Heated70,-27.86383325,NA,NA
9/3/14,90,Control,2014 9,3,NA,-24.59486221,10231.17189,3Control90,-29.44069825,16.92145833,0.205049188
9/3/14,90,Heated,2014 9,3,NA,-23.026,11547.59028,3Heated90,-27.75420401,20.413125,0.197155952
11/18/14,30,Control,2014 11,1,NA,-27.1829847,6868.253098,1Control30,-32.47717589,9.331041667,0.251373467
11/18/14,30,Heated,2014 11,1,NA,-24.32118703,6444.317186,1Heated30,-29.50915252,13.70319444,NA
11/18/14,50,Control,2014 11,1,NA,-24.44109304,8107.472837,1Control50,-29.43749818,10.27875,0.232738518
11/18/14,50,Heated,2014 11,1,NA,-23.88241204,8180.517414,1Heated50,-28.84547632,14.4575,0.248605726
11/18/14,70,Control,2014 11,1,NA,-24.48293901,9153.093963,1Control70,-29.39470082,NA,NA
11/18/14,70,Heated,2014 11,1,NA,-23.74179171,8087.058755,1Heated70,-28.70644214,NA,NA
11/18/14,90,Control,2014 11,1,NA,-24.65317993,9820.860344,1Control90,-29.52622412,11.64395833,0.204708646
11/18/14,90,Heated,2014 11,1,NA,-23.86556604,10617.27483,1Heated90,-28.66411643,15.29083333,0.197560026
11/18/14,30,Control,2014 11,2,NA,-25.04284811,5393.847803,2Control30,-30.47845785,9.850416667,0.24395322
11/18/14,30,Heated,2014 11,2,NA,-24.76730676,5747.965116,2Heated30,-30.10611881,14.048125,0.246488406
11/18/14,50,Control,2014 11,2,NA,-25.38505722,6785.364347,2Control50,-30.58681085,11.02604167,0.25503372
11/18/14,50,Heated,2014 11,2,NA,-24.50100459,7813.652545,2Heated50,-29.52907592,15.14604167,0.221414734
11/18/14,70,Control,2014 11,2,NA,-24.028,9866.215886,2Control70,-28.87423682,NA,NA
11/18/14,70,Heated,2014 11,2,NA,-24.22637594,9363.728015,2Heated70,-29.11269585,NA,NA
11/18/14,90,Control,2014 11,2,NA,-24.187,12331.49932,2Control90,-28.91993506,12.22625,0.233979884
11/18/14,90,Heated,2014 11,2,NA,-24.67367394,10484.57718,2Heated90,-29.50791801,15.70208333,0.151404721
11/18/14,30,Control,2014 11,3,NA,-26.19580353,9402.257118,3Control30,-31.15921796,9.331041667,0.251373467
11/18/14,30,Heated,2014 11,3,NA,-24.28517174,8016.315385,3Heated30,-29.28264869,13.70319444,0.262856528
11/18/14,50,Control,2014 11,3,NA,-25.86100391,11584.95972,3Control50,-30.67763007,10.27875,0.232738518
11/18/14,50,Heated,2014 11,3,NA,-24.124,12261.5,3Heated50,-28.85777163,14.4575,0.248605726
11/18/14,70,Control,2014 11,3,NA,-25.60034353,13418.87836,3Control70,-30.33263386,NA,NA
11/18/14,70,Heated,2014 11,3,NA,-24.159,13770.212,3Heated70,-28.84189108,NA,NA
11/18/14,90,Control,2014 11,3,NA,-25.53176552,14041.7732,3Control90,-30.24114485,11.64395833,0.204708646
11/18/14,90,Heated,2014 11,3,NA,-24.206,16230.616,3Heated90,-28.8264507,15.29083333,0.197560026
1/9/15,30,Control,2015 1,1,NA,-22.47,7655.02789,1Control30,-27.41042053,6.415583333,0.292962379
1/9/15,30,Heated,2015 1,1,NA,-23.76,7215.68053,1Heated30,-28.81367014,10.01215278,NA
1/9/15,50,Control,2015 1,1,NA,-22.37,9693.195721,1Control50,-27.16209029,6.344708333,0.323786251
1/9/15,50,Heated,2015 1,1,NA,-23.92,8917.396588,1Heated50,-28.82521217,10.12208333,0.335582259
1/9/15,70,Control,2015 1,1,NA,-22.33,11034.56953,1Control70,-27.05646692,NA,NA
1/9/15,70,Heated,2015 1,1,NA,-24.1,10647.4989,1Heated70,-28.90521928,NA,NA
1/9/15,90,Control,2015 1,1,NA,-23.04,15134.0237,1Control90,-27.6593531,6.863854167,0.280313729
1/9/15,90,Heated,2015 1,1,NA,-23.92,12087.3828,1Heated90,-28.65445506,11.413125,0.275115819
1/9/15,30,Control,2015 1,2,NA,-24.09,5981.484451,2Control30,-29.33809254,7.764291667,0.287488424
1/9/15,30,Heated,2015 1,2,NA,-23.86,7813.106725,2Heated30,-28.85601345,11.55291667,0.279498228
1/9/15,50,Control,2015 1,2,NA,-24.68,7022.204034,2Control50,-29.80847217,7.674875,0.356252936
1/9/15,50,Heated,2015 1,2,NA,-23.77,13250.07978,2Heated50,-28.45889462,11.90458333,0.299470571
1/9/15,70,Control,2015 1,2,NA,-24.43,13182.3711,2Control70,-29.13903474,NA,NA
1/9/15,70,Heated,2015 1,2,NA,-23.87,15243.02517,2Heated70,-28.5057978,NA,NA
1/9/15,90,Control,2015 1,2,NA,-24.57,18522.00181,2Control90,-29.15323238,8.152916667,0.299651978
1/9/15,90,Heated,2015 1,2,NA,-24.37,14218.82239,2Heated90,-29.04488093,11.89625,0.216712698
1/9/15,30,Control,2015 1,3,NA,-25.29,12387.29995,3Control30,-30.05312013,6.415583333,0.292962379
1/9/15,30,Heated,2015 1,3,NA,-23.77,10787.06001,3Heated30,-28.55671105,10.01215278,0.325715497
1/9/15,50,Control,2015 1,3,NA,-25.3,14760.49047,3Control50,-29.98182437,6.344708333,0.323786251
1/9/15,50,Heated,2015 1,3,NA,-23.78,14503.45863,3Heated50,-28.43248198,10.12208333,0.335582259
1/9/15,70,Control,2015 1,3,NA,-25.53,19973.32997,3Control70,-30.10582317,NA,NA
1/9/15,70,Heated,2015 1,3,NA,-24.05,18452.50416,3Heated70,-28.62507644,NA,NA
1/9/15,90,Control,2015 1,3,NA,-25.49,22989.97613,3Control90,-30.02428565,6.863854167,0.280313729
1/9/15,90,Heated,2015 1,3,NA,-24.62,23809.88447,3Heated90,-29.13380386,11.413125,0.275115819
2/11/15,30,Control,2015 2,1,NA,-24.48111288,8506.152431,1Control30,-29.44376644,7.641875,0.313722152
2/11/15,30,Heated,2015 2,1,NA,-23.63483041,8565.162089,1Heated30,-28.5543517,10.29333333,NA
2/11/15,50,Control,2015 2,1,NA,-23.88295444,10939.19141,1Control50,-28.66613098,7.856041667,0.349486641
2/11/15,50,Heated,2015 2,1,NA,-24.09950647,10500.05868,1Heated50,-28.91245022,10.59145833,0.361648773
2/11/15,70,Control,2015 2,1,NA,-23.69720057,12048.90218,1Control70,-28.42642468,NA,NA
2/11/15,70,Heated,2015 2,1,NA,-23.18117281,12515.25913,1Heated70,-27.87804192,NA,NA
2/11/15,90,Control,2015 2,1,NA,-24.229,13258.42803,1Control90,-28.93002809,8.097916667,0.290987176
2/11/15,90,Heated,2015 2,1,NA,-22.868,13065.47353,1Heated90,-27.53810476,11.21791667,0.291766251
2/11/15,30,Control,2015 2,2,NA,-23.97253874,6015.547642,2Control30,-29.20678915,8.2925,0.30276645
2/11/15,30,Heated,2015 2,2,NA,-24.95550401,7775.291684,2Heated30,-30.01040034,12.20361111,0.310270736
2/11/15,50,Control,2015 2,2,NA,-24.32437429,6969.972298,2Control50,-29.43935144,8.684166667,0.381064812
2/11/15,50,Heated,2015 2,2,NA,-24.837,13602.89461,2Heated50,-29.54282624,12.74041667,0.33195979
2/11/15,70,Control,2015 2,2,NA,-24.437,12565.54607,2Control70,-29.16831852,NA,NA
2/11/15,70,Heated,2015 2,2,NA,-24.647,13291.61685,2Heated70,-29.3581895,NA,NA
2/11/15,90,Control,2015 2,2,NA,-24.465,16995.03015,2Control90,-29.0746846,9.078125,0.309416904
2/11/15,90,Heated,2015 2,2,NA,-24.019,12654.89226,2Heated90,-28.73504035,12.64083333,0.238356152
2/11/15,30,Control,2015 2,3,NA,-24.76268344,10540.51925,3Control30,-29.59698199,7.641875,0.313722152
2/11/15,30,Heated,2015 2,3,NA,-25.094,12464.03557,3Heated30,-29.8482808,10.29333333,0.352508181
2/11/15,50,Control,2015 2,3,NA,-24.17716155,11733.15745,3Control50,-28.93398985,7.856041667,0.349486641
2/11/15,50,Heated,2015 2,3,NA,-25.258,16460.75958,3Heated50,-29.89532903,10.59145833,0.361648773
2/11/15,70,Control,2015 2,3,NA,-24.575,13625.48271,3Control70,-29.27323455,NA,NA
2/11/15,70,Heated,2015 2,3,NA,-25.131,19618.65167,3Heated70,-29.70585628,NA,NA
2/11/15,90,Control,2015 2,3,NA,-24.578,16847.77874,3Control90,-29.19297337,8.097916667,0.290987176
2/11/15,90,Heated,2015 2,3,NA,-24.745,20580.2873,3Heated90,-29.2993251,11.21791667,0.291766251
3/10/15,30,Control,2015 3,1,NA,-24.34081741,7883.450519,1Control30,-29.35390176,8.493125,0.287269211
3/10/15,30,Heated,2015 3,1,NA,-23.91026091,7783.427626,1Heated30,-28.9116989,12.38138889,NA
3/10/15,50,Control,2015 3,1,NA,-23.165,9736.112627,1Control50,-27.98564981,8.054375,0.316571054
3/10/15,50,Heated,2015 3,1,NA,-22.679,9768.710483,1Heated50,-27.4789469,12.27208333,0.318108865
3/10/15,70,Control,2015 3,1,NA,-23.499,11341.5904,1Control70,-28.25103194,NA,NA
3/10/15,70,Heated,2015 3,1,NA,-22.748,11323.38116,1Heated70,-27.47635312,NA,NA
3/10/15,90,Control,2015 3,1,NA,-23.628,12638.06365,1Control90,-28.33345975,7.977145833,0.276829188
3/10/15,90,Heated,2015 3,1,NA,-23.148,16690.57284,1Heated90,-27.73710106,11.90416667,0.267729477
3/10/15,30,Control,2015 3,2,NA,-27.96707682,6672.508833,2Control30,-33.34057418,9.324375,0.27879887
3/10/15,30,Heated,2015 3,2,NA,-24.53792643,8403.981513,2Heated30,-29.51200082,13.09791667,0.262050448
3/10/15,50,Control,2015 3,2,NA,-23.569,8804.940156,2Control50,-28.46731044,8.930416667,0.338933973
3/10/15,50,Heated,2015 3,2,NA,-23.637,11866.75225,2Heated50,-28.37155642,13.10020833,0.282253968
3/10/15,70,Control,2015 3,2,NA,-24.194,13280.41205,2Control70,-28.89335619,NA,NA
3/10/15,70,Heated,2015 3,2,NA,-23.78,14046.44442,2Heated70,-28.44507669,NA,NA
3/10/15,90,Control,2015 3,2,NA,-24.307,18336.34356,2Control90,-28.88867643,8.95125,0.293438793
3/10/15,90,Heated,2015 3,2,NA,-24.015,16020.79875,2Heated90,-28.63599704,12.67708333,0.205779978
3/10/15,30,Control,2015 3,3,NA,-24.241,12280.16002,3Control30,-28.97751454,8.493125,0.287269211
3/10/15,30,Heated,2015 3,3,NA,-23.57,9519.644435,3Heated30,-28.41966712,12.38138889,0.294720075
3/10/15,50,Control,2015 3,3,NA,-24.481,15168.63356,3Control50,-29.13263574,8.054375,0.316571054
3/10/15,50,Heated,2015 3,3,NA,-23.893,14313.82415,3Heated50,-28.55339139,12.27208333,0.318108865
3/10/15,70,Control,2015 3,3,NA,-24.722,16379.07933,3Control70,-29.35001317,NA,NA
3/10/15,70,Heated,2015 3,3,NA,-24.252,18623.45563,3Heated70,-28.82785393,NA,NA
3/10/15,90,Control,2015 3,3,NA,-24.638,22735.94893,3Control90,-29.16363737,7.977145833,0.276829188
3/10/15,90,Heated,2015 3,3,NA,-24.384,24820.41242,3Heated90,-28.88496466,11.90416667,0.267729477
4/14/15,30,Control,2015 4,1,NA,-23.85675198,7969.924913,1Control30,-28.83768423,9.246458333,0.277506483
4/14/15,30,Heated,2015 4,1,NA,-23.303,5699.757474,1Heated30,-28.54632057,12.99888889,NA
4/14/15,50,Control,2015 4,1,NA,-23.66,9318.082523,1Control50,-28.52628831,8.965,0.296233966
4/14/15,50,Heated,2015 4,1,NA,-24.10430417,8236.78828,1Heated50,-29.07289497,13.14541667,0.294813765
4/14/15,70,Control,2015 4,1,NA,-23.572,10042.36744,1Control70,-28.39070555,NA,NA
4/14/15,70,Heated,2015 4,1,NA,-23.461,9424.892283,1Heated70,-28.31227856,NA,NA
4/14/15,90,Control,2015 4,1,NA,-23.508,11409.00593,1Control90,-28.25741704,8.91,0.267551114
4/14/15,90,Heated,2015 4,1,NA,-23.313,14248.91373,1Heated90,-27.96082602,12.65291667,0.255913129
4/14/15,30,Control,2015 4,2,NA,-23.88606353,6084.713626,2Control30,-29.10287434,8.887708333,0.263068297
4/14/15,30,Heated,2015 4,2,NA,-23.88104743,7476.305675,2Heated30,-28.91245577,13.03701389,0.246397241
4/14/15,50,Control,2015 4,2,NA,-24.33300521,6954.466,2Control50,-29.45046719,8.970833333,0.294147719
4/14/15,50,Heated,2015 4,2,NA,-23.309,10418.38989,2Heated50,-28.09793216,13.15666667,0.255352537
