SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,C_ADDED,N_ADDED,PEAT_DEPTH,PEAT_TEMP,DISS_CH4_CONC,DISS_CO2_CONC,POREWATER_PH,SITE_COMMENTS,CRTFCN_CODE,REVISION_DATE
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1011,300,6,400,.5,618.87,3541.0,6.22,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1011,300,6,200,9.8,154.36,2117.0,6.71,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1011,300,6,100,13.3,6.07,1596.0,6.86,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1011,300,6,500,.1,646.79,3883.0,6.1,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1014,0,0,0,,.13,1501.0,7.06,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1014,0,0,500,-1.1,,,,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1014,0,0,400,1.3,538.13,3803.0,6.36,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1014,0,0,300,7.1,290.63,2384.0,6.54,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1014,0,0,200,12.0,61.03,1638.0,6.77,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1014,0,0,100,15.2,.36,1398.0,6.92,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1014,0,0,50,15.9,.21,1432.0,7.0,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1451,300,0,0,,.18,1262.0,6.87,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1451,300,0,50,17.5,6.37,1323.0,6.89,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1451,300,0,200,11.6,11.79,1538.0,6.76,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1451,300,0,500,-.7,697.42,5462.0,6.23,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1451,300,0,400,,590.87,3770.0,5.91,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
'SSA-FEN-FLXTR','9TF11-CON02',08-JUN-1994,1451,300,0,300,6.6,470.46,3288.0,6.51,'Hollow: North of Tower, along transect A','CPI',09-SEP-1998
