DateTime.EST,CO2_50cm.percent,SoilMoisture_50cm.m3m3,BulkEC_50cm.dS/m,ApogeeTemp_50cm.deg.C,ApogeeTemp_150cm.deg.C,O2_50cm.percent.0-100,O2_150cm.percent.0-100,CO2_150cm.percent,SoilMoisture_25cm.m3m3,BulkEC_25cm.dS/m,PRISM_precip.mm
2016-04-01 06:00:00,2.6109999999999998,0.3195,0.027999999999999997,16.44,14.745000000000001,18.79922713,14.48863601,-99999,0.0,0.0,0.0
2016-04-01 07:00:00,2.6129999999999995,0.32,0.027999999999999997,16.44,14.74,18.79922713,14.48838438,-99999,0.0,0.0,0.0
2016-04-01 08:00:00,2.6079999999999997,0.32,0.027999999999999997,16.44,14.74,18.79922713,14.48838438,-99999,0.0,0.0,0.0
2016-04-01 09:00:00,2.6135,0.32,0.027999999999999997,16.46,14.765,18.800525465,14.489642530000001,-99999,0.0,0.0,0.0
2016-04-01 10:00:00,2.6325000000000003,0.32,0.027999999999999997,16.58,14.879999999999999,18.808315465,14.495430035,-99999,0.0,0.0,0.0
2016-04-01 11:00:00,2.6475,0.32,0.027999999999999997,16.67,14.955,18.81415797,14.398185784999999,-99999,0.0,0.0,0.0
2016-04-01 12:00:00,2.66,0.32,0.027999999999999997,16.675,14.93,18.814482554999998,14.170733575,-99999,0.0,0.0,4.28
2016-04-01 13:00:00,2.6904999999999997,0.32,0.027999999999999997,16.69,14.925,18.764638365,13.920141685,-99999,0.0,0.0,4.28
2016-04-01 14:00:00,2.73,0.3205,0.027999999999999997,16.69,14.89,18.58788033,13.89429673,-99999,0.0,0.0,4.28
2016-04-01 15:00:00,2.747,0.321,0.027999999999999997,16.735,14.89,18.33884477,13.89429673,-99999,0.0,0.0,4.28
2016-04-01 16:00:00,2.774,0.322,0.027999999999999997,16.79,14.885000000000002,18.21634283,13.89405554,-99999,0.0,0.0,4.28
2016-04-01 17:00:00,2.787,0.322,0.027999999999999997,16.845,14.88,18.21979837,13.89381435,-99999,0.0,0.0,4.28
2016-04-01 18:00:00,2.8135,0.32299999999999995,0.027999999999999997,16.855,14.844999999999999,18.22042665,13.892126045,-99999,0.0,0.0,4.28
2016-04-01 19:00:00,2.8415,0.32299999999999995,0.028999999999999998,16.89,14.84,18.22262563,13.89188486,-99999,0.0,0.0,4.28
2016-04-01 20:00:00,2.843,0.324,0.028999999999999998,16.9,14.84,18.22325391,13.665761459999999,-99999,0.0,0.0,4.28
2016-04-01 21:00:00,2.8594999999999997,0.324,0.028999999999999998,16.93,14.835,18.22513874,13.58868749,-99999,0.0,0.0,4.28
2016-04-01 22:00:00,2.8674999999999997,0.3245,0.028999999999999998,16.945,14.82,18.22608116,13.563832285,-99999,0.0,0.0,4.28
2016-04-01 23:00:00,2.912,0.325,0.028999999999999998,16.95,14.81,18.2263953,13.33945658,-99999,0.0,0.0,4.28
2016-04-02 00:00:00,2.9225000000000003,0.325,0.028999999999999998,16.95,14.8,18.2263953,13.288506779999999,-99999,0.0,0.0,4.28
2016-04-02 01:00:00,2.9160000000000004,0.3255,0.028999999999999998,16.93,14.79,18.22513874,13.28804529,-99999,0.0,0.0,4.28
2016-04-02 02:00:00,2.948,0.326,0.028999999999999998,16.915,14.79,18.224196325,13.28804529,-99999,0.0,0.0,4.28
2016-04-02 03:00:00,2.9405,0.326,0.028999999999999998,16.9,14.79,18.22325391,13.28804529,-99999,0.0,0.0,4.28
2016-04-02 04:00:00,2.9640000000000004,0.326,0.028999999999999998,16.9,14.79,18.22325391,13.28804529,-99999,0.0,0.0,4.28
2016-04-02 05:00:00,2.9735,0.327,0.028999999999999998,16.9,14.79,18.22325391,13.28804529,-99999,0.0,0.0,4.28
2016-04-02 06:00:00,2.977,0.327,0.028999999999999998,16.89,14.79,18.22262563,13.28804529,-99999,0.0,0.0,4.28
2016-04-02 07:00:00,2.9905,0.327,0.028999999999999998,16.865000000000002,14.79,18.22105493,13.28804529,-99999,0.0,0.0,4.28
2016-04-02 08:00:00,2.9935,0.327,0.028999999999999998,16.85,14.79,18.22011251,13.28804529,-99999,0.0,0.0,4.28
2016-04-02 09:00:00,3.0,0.327,0.028999999999999998,16.86,14.835,18.22074079,13.116688374999999,-99999,0.0,0.0,4.28
2016-04-02 10:00:00,3.0069999999999997,0.327,0.028999999999999998,16.915,14.885,18.224196325,12.99381207,-99999,0.0,0.0,4.28
2016-04-02 11:00:00,3.018,0.327,0.028999999999999998,17.0,14.99,18.229536699999997,12.99854882,-99999,0.0,0.0,4.28
2016-04-02 12:00:00,3.0380000000000003,0.327,0.028999999999999998,17.0,14.985,18.2295367,12.895089665,-99999,0.0,0.0,2.89
2016-04-02 13:00:00,3.0465,0.327,0.028999999999999998,16.98,14.97,18.00269334,12.694548390000001,-99999,0.0,0.0,2.89
2016-04-02 14:00:00,3.066,0.327,0.028999999999999998,16.985,14.96,17.92116427,12.69191127,-99999,0.0,0.0,2.89
2016-04-02 15:00:00,3.0709999999999997,0.326,0.028999999999999998,17.025,14.975000000000001,17.82188288,12.69037588,-99999,0.0,0.0,2.89
2016-04-02 16:00:00,3.0905000000000005,0.326,0.028999999999999998,17.045,14.96,17.61958976,12.68971521,-99999,0.0,0.0,2.89
2016-04-02 17:00:00,3.0934999999999997,0.326,0.028999999999999998,17.095,14.98,17.629263155,12.69498899,-99999,0.0,0.0,2.89
2016-04-02 18:00:00,3.105,0.326,0.028999999999999998,17.105,14.985,17.629870545,12.695209290000001,-99999,0.0,0.0,2.89
2016-04-02 19:00:00,3.125,0.326,0.028999999999999998,17.095,14.98,17.629263155,12.69498899,-99999,0.0,0.0,2.89
2016-04-02 20:00:00,3.1375,0.326,0.028999999999999998,17.03,14.925,17.625315105,12.69256569,-99999,0.0,0.0,2.89
2016-04-02 21:00:00,3.1550000000000002,0.326,0.028999999999999998,16.965,14.89,17.62136705,12.69102359,-99999,0.0,0.0,2.89
2016-04-02 22:00:00,3.1624999999999996,0.326,0.028999999999999998,16.915,14.89,17.61833009,12.467056695,-99999,0.0,0.0,2.89
2016-04-02 23:00:00,3.1705,0.326,0.0295,16.855,14.89,17.614685735000002,12.467056695,-99999,0.0,0.0,2.89
2016-04-03 00:00:00,3.16,0.326,0.028999999999999998,16.785,14.89,17.610433989999997,12.39240106,-99999,0.0,0.0,2.89
2016-04-03 01:00:00,3.169,0.326,0.028999999999999998,16.72,14.87,17.608695485,12.3915406,-99999,0.0,0.0,2.89
2016-04-03 02:00:00,3.1605,0.326,0.028999999999999998,16.65,14.875,17.60886162,12.396146995,-99999,0.0,0.0,2.89
2016-04-03 03:00:00,3.1465,0.326,0.028999999999999998,16.58,14.88,17.606816985000002,12.39636219,-99999,0.0,0.0,2.89
2016-04-03 04:00:00,3.173,0.326,0.028999999999999998,16.5,14.870000000000001,17.601955404999998,12.395931805,-99999,0.0,0.0,2.89
2016-04-03 05:00:00,3.1550000000000002,0.326,0.028999999999999998,16.435000000000002,14.87,17.60021279,12.29932534,-99999,0.0,0.0,2.89
2016-04-03 06:00:00,3.1355,0.326,0.028999999999999998,16.354999999999997,14.87,17.59755764,12.27517372,-99999,0.0,0.0,2.89
2016-04-03 07:00:00,3.1375,0.326,0.028999999999999998,16.265,14.87,17.918600715,12.275173724999998,-99999,0.0,0.0,2.89
2016-04-03 08:00:00,3.1375,0.326,0.028999999999999998,16.2,14.89,18.192508765,12.249673555,-99999,0.0,0.0,2.89
2016-04-03 09:00:00,3.148,0.326,0.028999999999999998,16.195,14.989999999999998,18.192194395,12.253922815,-99999,0.0,0.0,2.89
2016-04-03 10:00:00,3.1275,0.325,0.028999999999999998,16.2,15.075,18.18589154,12.303685134999998,-99999,0.0,0.0,2.89
2016-04-03 11:00:00,3.126,0.325,0.028999999999999998,16.134999999999998,15.09,18.175190505,12.15051763,-99999,0.0,0.0,2.89
2016-04-03 12:00:00,3.1065,0.325,0.028999999999999998,16.025,15.065000000000001,18.16827943,12.147267639999999,-99999,0.0,0.0,0.82
2016-04-03 13:00:00,3.0995,0.325,0.028999999999999998,15.945,15.06,18.16325319,12.125082944999999,-99999,0.0,0.0,0.82
2016-04-03 14:00:00,3.0875,0.325,0.028999999999999998,15.925,15.055,18.159793025,12.096312274999999,-99999,0.0,0.0,0.82
2016-04-03 15:00:00,3.0845000000000002,0.325,0.028999999999999998,15.895,15.024999999999999,18.15129813,12.09065957,-99999,0.0,0.0,0.82
2016-04-03 16:00:00,3.0919999999999996,0.325,0.028999999999999998,15.905000000000001,15.02,18.14751912,12.09044979,-99999,0.0,0.0,0.82
2016-04-03 17:00:00,3.083,0.325,0.028499999999999998,15.96,15.05,18.155379965,12.09170847,-99999,0.0,0.0,0.82
2016-04-03 18:00:00,3.0789999999999997,0.324,0.028499999999999998,16.03,15.075,18.166389199999998,12.0971517,-99999,0.0,0.0,0.82
2016-04-03 19:00:00,3.09,0.324,0.028999999999999998,16.07,15.07,18.171106690000002,12.101336095,-99999,0.0,0.0,0.82
2016-04-03 20:00:00,3.0735,0.324,0.028499999999999998,16.055,15.015,18.17016427,12.09902684,-99999,0.0,0.0,0.82
2016-04-03 21:00:00,3.053,0.324,0.028499999999999998,16.045,14.98,18.16953599,12.09755731,-99999,0.0,0.0,0.82
2016-04-03 22:00:00,3.0620000000000003,0.324,0.028499999999999998,16.05,14.97,18.16985013,12.09713745,-99999,0.0,0.0,0.82
2016-04-03 23:00:00,3.0475000000000003,0.324,0.028499999999999998,16.045,14.975000000000001,18.173945105,12.097347379999999,-99999,0.0,0.0,0.82
2016-04-04 00:00:00,3.053,0.324,0.028499999999999998,16.05,14.955,18.17866851,12.10090015,-99999,0.0,0.0,0.82
2016-04-04 01:00:00,3.0380000000000003,0.324,0.028999999999999998,16.03,14.95,18.175206975000002,12.09849393,-99999,0.0,0.0,0.82
2016-04-04 02:00:00,3.0324999999999998,0.324,0.028999999999999998,15.995000000000001,14.95,18.173007085000002,12.10069014,-99999,0.0,0.0,0.82
2016-04-04 03:00:00,3.019,0.324,0.028499999999999998,15.955,14.955,18.17269696,12.10090015,-99999,0.0,0.0,0.82
2016-04-04 04:00:00,3.0305,0.324,0.028999999999999998,15.925,14.965,18.173014809999998,12.10351653,-99999,0.0,0.0,0.82
2016-04-04 05:00:00,3.016,0.324,0.028499999999999998,15.879999999999999,14.97,18.172389175,12.105922900000001,-99999,0.0,0.0,0.82
2016-04-04 06:00:00,3.0244999999999997,0.324,0.028999999999999998,15.83,14.97,18.16924549,12.105922900000001,-99999,0.0,0.0,0.82
2016-04-04 07:00:00,3.013,0.324,0.028499999999999998,15.77,14.97,18.16547307,12.105922900000001,-99999,0.0,0.0,0.82
2016-04-04 08:00:00,2.9925,0.324,0.027999999999999997,15.72,14.975000000000001,18.16232938,12.106132985,-99999,0.0,0.0,0.82
2016-04-04 09:00:00,2.994,0.324,0.028499999999999998,15.74,15.055,18.161384544999997,12.10729714,-99999,0.0,0.0,0.82
2016-04-04 10:00:00,2.9665,0.324,0.027999999999999997,15.75,15.129999999999999,18.153203965000003,12.103855280000001,-99999,0.0,0.0,0.82
2016-04-04 11:00:00,2.9645,0.32299999999999995,0.027999999999999997,15.780000000000001,15.21,18.227769225,12.105016235,-99999,0.0,0.0,0.82
2016-04-04 12:00:00,2.968,0.32299999999999995,0.027999999999999997,15.65,15.11,18.285614619999997,12.09422583,-99999,0.0,0.0,4.05
2016-04-04 13:00:00,2.97,0.32299999999999995,0.027999999999999997,15.614999999999998,15.1,18.230571185000002,12.09380627,-99999,0.0,0.0,4.05
2016-04-04 14:00:00,2.9444999999999997,0.32299999999999995,0.027999999999999997,15.635,15.1,18.258249669999998,12.04326711,-99999,0.0,0.0,4.05
2016-04-04 15:00:00,2.926,0.322,0.027999999999999997,15.67,15.1,18.132765295,11.816939575,-99999,0.0,0.0,4.05
2016-04-04 16:00:00,2.9130000000000003,0.322,0.027999999999999997,15.74,15.09,18.161382945,11.79016228,-99999,0.0,0.0,4.05
2016-04-04 17:00:00,2.9215,0.322,0.027999999999999997,15.82,15.1,18.142182635,11.79057132,-99999,0.0,0.0,4.05
2016-04-04 18:00:00,2.9085,0.322,0.027999999999999997,15.9,15.105,18.15161212,11.795170625,-99999,0.0,0.0,4.05
2016-04-04 19:00:00,2.9105,0.322,0.027999999999999997,15.98,15.12,18.161044044999997,11.598008759999999,-99999,0.0,0.0,4.05
2016-04-04 20:00:00,2.9055,0.322,0.027999999999999997,16.009999999999998,15.09,18.16733701,11.500121515,-99999,0.0,0.0,4.05
2016-04-04 21:00:00,2.9059999999999997,0.322,0.027999999999999997,16.03,15.065000000000001,18.16859357,11.49912407,-99999,0.0,0.0,4.05
2016-04-04 22:00:00,2.89,0.322,0.027999999999999997,16.049999999999997,15.045,18.16985013,11.498326115,-99999,0.0,0.0,4.05
2016-04-04 23:00:00,2.892,0.322,0.027999999999999997,16.07,15.03,18.171106690000002,11.49772765,-99999,0.0,0.0,4.05
2016-04-05 00:00:00,2.8905000000000003,0.322,0.027999999999999997,16.08,15.03,18.17173497,11.49772765,-99999,0.0,0.0,4.05
