DateTime.EST,Depth (m),O2_pct,CO2_pct,GC_N2O_ppm,GC_CH4_ppm,GC_CO2_pct,CO2_2_0cm.pct,CO2_2_50cm.pct,CO2_2_150cm.pct,CO2_2_300cm.pct,CO2_2_500cm.pct
2016-09-12,3.0,18.6,2.227,2.999344906027988,0.1886151107756609,2.29394846176686,-99999,-99999,-99999,2.227,-99999
2016-09-12,5.0,18.3,2.05,3.224103503563039,0.1872599333595707,2.218499166969601,-99999,-99999,-99999,-99999,2.05
2016-09-25,0.0,20.9,0.044,-99999,-99999,-99999,0.044,-99999,-99999,-99999,-99999
2016-09-25,0.5,20.4,0.472,0.4851471935171354,1.286427066535413,0.4342996929038882,-99999,0.472,-99999,-99999,-99999
2016-09-25,1.5,20.0,1.32,1.028764143810375,0.6987546978647903,1.29208697599868,-99999,-99999,1.32,-99999,-99999
2016-09-25,3.0,18.6,2.376,3.73015153597455,0.1698495660612303,2.40233532658291,-99999,-99999,-99999,2.376,-99999
2016-09-25,5.0,18.9,2.176,3.918161552353137,0.1404659476276992,2.281388920320643,-99999,-99999,-99999,-99999,2.176
2016-10-24,0.0,21.4,0.042,-99999,-99999,-99999,0.042,-99999,-99999,-99999,-99999
2016-10-24,0.5,20.8,0.324,0.4654734164703418,1.210407255279448,0.3133691120422984,-99999,0.324,-99999,-99999,-99999
2016-10-24,1.5,20.5,0.948,0.9595653787303908,0.8449514700339419,0.9706362499566417,-99999,-99999,0.948,-99999,-99999
2016-10-24,3.0,19.2,2.252,3.487005858877871,0.05730849605716461,2.289917676253378,-99999,-99999,-99999,2.252,-99999
2016-10-24,5.0,19.3,2.156,3.66315766737103,0.143065268768204,2.269716386276316,-99999,-99999,-99999,-99999,2.156
2016-11-07,0.0,20.3,0.04,-99999,-99999,-99999,0.04,-99999,-99999,-99999,-99999
2016-11-07,0.5,20.6,0.234,0.4216187251643393,1.087562496391633,0.1946059473248747,-99999,0.234,-99999,-99999,-99999
2016-11-07,1.5,20.3,0.802,0.7214878747564573,0.8006320470451983,0.7315903955675036,-99999,-99999,0.802,-99999,-99999
2016-11-07,3.0,19.1,2.158,3.339206956373533,0.1547048959583395,2.168026774587005,-99999,-99999,-99999,2.158,-99999
