TmStamp,RECORD,DiffVolt_1,DiffVolt_2,O2_30,O2_140,T109_1_C,T109_2_C,CO2_30_lo,CO2_30_hi,CO2_30_temp,CO2_140_lo,CO2_140_hi,CO2_140_temp
2017-02-20 15:00:00.000,0,0.60699999,42.919998,-0.903,17.559999,2.6889999,3.773,8.1081095,32.43243,9.75,4835.1362,5070.271,10.57
2017-02-20 16:00:00.000,1,44.57,42.950001,18.030001,17.57,2.688,3.7709999,2.702703,5.405406,9.5500002,4846.6221,5070.271,10.21
2017-02-20 17:00:00.000,2,45.700001,42.939999,18.51,17.57,2.7049999,3.766,5.405406,10.81081,9.7799997,4867.5679,5032.4331,10.29
2017-02-20 18:00:00.000,3,45.830002,42.900002,18.57,17.549999,2.704,3.7869999,8.1081095,32.43243,10.1,4905.4058,5167.5679,10.48
2017-02-20 19:00:00.000,4,45.77,42.900002,18.540001,17.549999,2.697,3.78,3.3783791,8.1081095,9.79,4866.8931,5010.811,10.51
2017-02-20 20:00:00.000,5,45.77,42.900002,18.540001,17.549999,2.7190001,3.78,8.1081095,32.43243,9.6999998,4810.812,5000.0,10.48
2017-02-20 21:00:00.000,6,45.84,42.900002,18.57,17.549999,2.74,3.78,2.702703,5.405406,9.8199997,4814.1899,4956.7568,10.19
2017-02-20 22:00:00.000,7,45.830002,42.900002,18.57,17.549999,2.766,3.7839999,8.1081095,32.43243,10.12,4787.1631,5054.0552,10.3
2017-02-20 23:00:00.000,8,45.84,42.91,18.57,17.549999,2.79,3.7869999,7.4324331,40.54055,9.8199997,4760.1362,4913.5142,10.45
2017-02-21 00:00:00.000,9,45.849998,42.919998,18.58,17.559999,2.8369999,3.7909999,4.0540538,10.81081,9.79,4773.6489,5021.6221,10.52
2017-02-21 01:00:00.000,10,45.82,42.919998,18.559999,17.559999,2.8829999,3.793,8.1081095,32.43243,10.08,4762.8379,5010.811,10.1
2017-02-21 02:00:00.000,11,45.849998,42.98,18.58,17.59,2.9100001,3.793,39.18919,27.027031,10.17,4752.0269,4994.5952,10.2
2017-02-21 03:00:00.000,12,45.82,42.98,18.559999,17.59,2.954,3.8,71.621628,62.16217,10.29,4766.8931,4935.1362,10.17
2017-02-21 04:00:00.000,13,45.779999,42.919998,18.549999,17.559999,2.9760001,3.8,112.1622,75.675682,10.13,4858.1079,5086.4868,10.1
2017-02-21 05:00:00.000,14,45.790001,42.919998,18.549999,17.559999,2.9990001,3.8010001,148.6487,102.7027,9.9700003,4881.082,5156.7568,10.23
2017-02-21 06:00:00.000,15,45.759998,42.919998,18.540001,17.559999,3.0250001,3.806,164.8672,140.5425,9.9099998,4930.4741,5108.1792,10.54
2017-02-21 07:00:00.000,16,45.720001,42.889999,18.52,17.540001,3.036,3.806,184.4761,140.5533,10.32,4992.3428,5146.4111,10.47
2017-02-21 08:00:00.000,17,45.720001,42.889999,18.52,17.549999,3.0420001,3.806,204.0818,170.2934,10.1,5027.709,5249.3608,10.09
2017-02-21 09:00:00.000,18,45.689999,42.889999,18.51,17.540001,3.0450001,3.8099999,227.7509,178.4162,9.9899998,5037.5532,5249.7598,10.71
2017-02-21 10:00:00.000,19,45.66,42.860001,18.49,17.530001,3.04,3.8199999,248.0452,216.27921,10.33,5036.6021,5163.666,10.22
2017-02-21 11:00:00.000,20,45.66,42.82,18.49,17.52,3.0380001,3.819,273.72391,243.3102,9.9899998,5039.2241,5379.8579,10.37
2017-02-21 12:00:00.000,21,45.619999,42.82,18.48,17.52,3.0320001,3.8239999,306.8696,254.14751,10.28,5042.395,5277.6162,10.46
