TIMESTAMP,WP1(10cm),WP2(30cm),TempMPS1(10cm),TempMPS2(30cm),VWC1(10cm),VWC2(30cm),VWC3(60cm),VWC4(135cm),EC1(10cm),EC2(30cm),EC3(60cm),EC4(135cm),Temp5TE1(10cm),Temp5TE2(30cm),Temp5TE3(60cm),Temp5TE4(135cm)
MST,kPa,kPa,degC,degC,m3/m3,m3/m3,m3/m3,m3/m3,dS/m,dS/m,dS/m,dS/m,degC,degC,degC,degC
10/23/2015 9:30,-13,-12.9,2.6,4.3,0.258,0.171,0.171,0.097,0.04,0.03,0.01,0,1.4,3.1,3,6.7
10/23/2015 9:45,-12.8,-12.9,2.6,4.3,0.257,0.171,0.172,0.097,0.04,0.03,0.01,0,1.4,3.1,3,6.8
10/23/2015 10:00,-12.9,-13,2.6,4.3,0.257,0.171,0.172,0.097,0.04,0.03,0.01,0,1.4,3.1,3,6.8
10/23/2015 10:15,-14.2,-14.3,2.6,4.4,0.258,0.171,0.172,0.097,0.04,0.03,0.01,0.01,1.5,3.1,3.1,6.8
10/23/2015 10:30,-13.1,-13.1,2.6,4.4,0.258,0.171,0.172,0.097,0.04,0.03,0.01,0,1.5,3.1,3.1,6.8
10/23/2015 10:45,-14,-13.1,2.6,4.4,0.258,0.171,0.172,0.097,0.04,0.03,0.01,0.01,1.6,3.1,3.2,6.8
10/23/2015 11:00,-13.1,-13.2,2.6,4.4,0.258,0.171,0.172,0.097,0.04,0.03,0.01,0,1.7,3.1,3.2,6.8
10/23/2015 11:15,-13.1,-13.2,2.6,4.4,0.258,0.171,0.173,0.097,0.04,0.03,0.01,0,1.7,3.2,3.3,6.8
10/23/2015 11:30,-13.1,-14.5,2.6,4.4,0.258,0.171,0.173,0.097,0.04,0.03,0.01,0,1.9,3.2,3.3,6.8
10/23/2015 11:45,-14.4,-13.3,2.6,4.4,0.258,0.171,0.173,0.097,0.04,0.03,0,0,2,3.1,3.3,6.8
10/23/2015 12:00,-13.1,-13.3,2.6,4.5,0.258,0.171,0.173,0.097,0.04,0.03,0,0,2,3.2,3.3,6.8
10/23/2015 12:15,-14.4,-13.3,2.6,4.4,0.258,0.171,0.173,0.097,0.04,0.03,0.01,0,2.3,3.2,3.4,6.8
10/23/2015 12:30,-14.4,-14.5,2.6,4.4,0.258,0.171,0.173,0.097,0.04,0.03,0,0.01,2.3,3.2,3.4,6.9
