TIMESTAMP,WP1(10cm),WP2(30cm),TempMPS1(10cm),TempMPS2(30cm),VWC1(10cm),VWC2(30cm),VWC3(60cm),VWC4(60cm),EC1(10cm),EC2(30cm),EC3(60cm),EC4(60cm),Temp5TE1(10cm),Temp5TE2(30cm),Temp5TE3(60cm),Temp5TE4(60cm)
MST,kPa,kPa,degC,degC,m3/m3,m3/m3,m3/m3,m3/m3,dS/m,dS/m,dS/m,dS/m,degC,degC,degC,degC
12/2/2014 11:15,-9.4,-9.3,8.1,7.5,0.06,0.065,0.007,0.087,0,0,0,0.01,8.5,7.3,7.6,7.8
12/2/2014 11:30,-9.6,-9.3,7.4,6.9,0.054,0.063,0.006,0.085,0,0,0,0.01,8,7.3,7.3,7.8
12/2/2014 11:45,-10.1,-9.3,7.1,6.7,0.052,0.062,0.006,0.084,0,0,0,0.01,7.9,7.3,7.3,7.6
12/2/2014 12:00,-11,-9.3,7,6.6,0.052,0.062,0.006,0.085,0,0,0,0,7.9,7.4,7.3,7.5
12/2/2014 12:15,-12.1,-9.3,7,6.5,0.054,0.062,0.006,0.085,0,0,0,0,7.9,7.3,7.2,7.6
12/2/2014 12:30,-13.2,-9.3,7,6.5,0.053,0.062,0.005,0.085,0,0,0,0,8,7.4,7.3,7.6
12/2/2014 12:45,-14.6,-9.3,7,6.5,0.052,0.062,0.005,0.085,0,0,0,0,8.1,7.5,7.3,7.6
12/2/2014 13:00,-16,-9.3,7,6.6,0.051,0.062,0.006,0.086,0,0,0,0.01,8.2,7.5,7.3,7.6
12/2/2014 13:15,-17.6,-9.4,7,6.6,0.067,0.074,0.007,0.082,0,0,0,0,8.2,7.5,7.3,7.5
12/2/2014 13:30,-16.8,-9.3,6.8,6.5,0.074,0.075,0.007,0.081,0,0,0,0,8.1,7.4,7.4,7.5
12/2/2014 13:45,-17.6,-9.4,6.9,6.6,0.073,0.075,0.007,0.082,0,0,0,0,8,7.4,7.3,7.5
12/2/2014 14:00,-18.6,-9.4,6.9,6.6,0.075,0.076,0.007,0.081,0,0,0,0,8.1,7.4,7.4,7.6
12/2/2014 14:15,-19.5,-9.4,7,6.6,0.075,0.076,0.007,0.082,0.01,0,0,0,8.1,7.4,7.4,7.6
12/2/2014 14:30,-20.3,-9.4,7,6.6,0.075,0.076,0.007,0.082,0,0,0,0,8.1,7.4,7.4,7.6
12/2/2014 14:45,-21.1,-9.4,7,6.6,0.075,0.076,0.007,0.082,0.01,0,0,0,8.1,7.4,7.4,7.6
12/2/2014 15:00,-21.7,-9.5,7.1,6.6,0.075,0.076,0.007,0.082,0,0,0,0,8,7.4,7.4,7.7
12/2/2014 15:15,-22.1,-9.5,7.1,6.7,0.075,0.076,0.007,0.082,0,0,0,0,8,7.4,7.4,7.7
12/2/2014 15:30,-22.3,-9.5,7.1,6.7,0.075,0.076,0.007,0.082,0,0,0,0,8,7.4,7.4,7.7
12/2/2014 15:45,-22.4,-9.5,7.1,6.7,0.075,0.076,0.007,0.082,0,0,0,0.01,8,7.4,7.4,7.6
12/2/2014 16:00,-22.3,-9.5,7.1,6.7,0.075,0.076,0.007,0.082,0,0,0,0.01,7.9,7.4,7.4,7.7
12/2/2014 16:15,-22.4,-9.5,7.1,6.7,0.075,0.076,0.007,0.082,0,0,0,0,7.9,7.4,7.4,7.6
12/2/2014 16:30,-22.1,-9.5,7.1,6.7,0.075,0.077,0.007,0.082,0,0,0,0.01,7.9,7.4,7.4,7.6
12/2/2014 16:45,-22.2,-9.6,7.1,6.7,0.075,0.076,0.007,0.082,0,0,0,0,7.9,7.4,7.4,7.7
12/2/2014 17:00,-22.2,-9.6,7.1,6.7,0.075,0.076,0.007,0.082,0,0,0,0,7.8,7.4,7.4,7.6
12/2/2014 17:15,-22.2,-9.7,7.1,6.7,0.075,0.076,0.007,0.082,0.01,0,0,0.01,7.8,7.4,7.4,7.7
12/2/2014 17:30,-22.1,-9.7,7.1,6.8,0.075,0.076,0.007,0.082,0,0,0,0,7.7,7.4,7.4,7.6
12/2/2014 17:45,-22.1,-9.7,7.1,6.8,0.075,0.077,0.007,0.083,0.01,0,0,0,7.7,7.4,7.4,7.6
