DateTime.EST,O2_30cm.percent.0-100,ApogeeTemp_30cm.deg.C,PRISM_precip.mm,CO2_30cm.ppm,CO2_80cm.ppm,CO2_80cm.ppm.rolling_mean,CO2_30cm.ppm.rolling_mean
2015-06-10 14:00:00,20.110001,14.09,-99999,5043.2441,2833.7839,-99999,-99999
2015-06-10 15:00:00,20.09,14.17,-99999,5113.5142,2833.7839,-99999,-99999
2015-06-10 16:00:00,20.059998999999998,14.23,-99999,4994.5952,2843.2429,-99999,-99999
2015-06-10 17:00:00,20.059998999999998,14.3,-99999,4982.4331,2836.4871,2836.82445,5033.44665
2015-06-10 18:00:00,20.040001,14.38,-99999,5027.0269,2825.676,2834.797475,5029.39235
2015-06-10 19:00:00,20.040001,14.43,-99999,5156.7568,2814.865,2830.0677499999997,5040.2029999999995
2015-06-10 20:00:00,20.040001,14.49,-99999,5091.8931,2831.0820000000003,2827.0275249999995,5064.527475
2015-06-10 21:00:00,20.040001,14.53,-99999,5184.6538,2857.2361,2832.2147749999995,5115.08265
2015-06-10 22:00:00,20.07,14.57,-99999,5245.0142,2817.167,2830.0875249999995,5169.579475
2015-06-10 23:00:00,20.07,14.6,-99999,5223.3848,2860.425,2841.477525,5186.236475
2015-06-11 00:00:00,20.059998999999998,14.61,-99999,5304.4932,2837.4441,2843.06805,5239.3865
2015-06-11 01:00:00,20.07,14.63,-99999,5255.8281,2821.2219,2834.0645,5257.180074999999
2015-06-11 02:00:00,20.08,14.63,-99999,5223.3848,2830.6851,2837.4440250000002,5251.772724999999
2015-06-11 03:00:00,20.09,14.63,-99999,5126.0542,2848.259,2834.4025250000004,5227.440074999999
2015-06-11 04:00:00,20.1,14.63,-99999,5028.7241,2857.7209,2839.4717250000003,5158.497799999998
2015-06-11 05:00:00,20.1,14.63,-99999,4974.6519,2836.092,2843.1892500000004,5088.203749999999
2015-06-11 06:00:00,20.129998999999998,14.61,-99999,4938.1528,2830.6851,2843.1892500000004,5016.895749999999
2015-06-11 07:00:00,20.129998999999998,14.61,-99999,4904.3579,2857.7209,2845.5547250000004,4961.471674999999
2015-06-11 08:00:00,20.16,14.61,-99999,4861.1001,2846.907,2842.8512500000006,4919.565674999999
2015-06-11 09:00:00,20.16,14.61,-99999,5093.6108,2830.6851,2841.4995250000006,4949.305399999998
2015-06-11 10:00:00,20.15,14.61,-99999,5136.5562,2852.1399,2846.8632250000005,4998.906249999998
2015-06-11 11:00:00,20.15,14.62,-99999,5167.5679,2862.1631,2847.9737750000004,5064.708749999999
2015-06-11 12:00:00,20.15,14.65,-99999,5054.0552,2845.946,2847.7335250000006,5112.947524999999
2015-06-11 13:00:00,20.120001000000002,14.71,-99999,5068.5649,2840.937,2850.2965000000004,5106.686049999998
2015-06-11 14:00:00,20.120001000000002,14.78,-99999,5057.7529,2839.5820000000003,2847.1570250000004,5086.9852249999985
2015-06-11 15:00:00,20.110001,14.88,-99999,4907.8032,2857.1440000000002,2845.9022500000005,5022.044049999999
2015-06-11 16:00:00,20.120001000000002,14.98,-99999,4952.3462,2869.281,2851.736000000001,4996.616799999999
2015-06-11 17:00:00,20.120001000000002,15.08,-99999,4886.188,2863.8979,2857.476225000001,4951.022574999998
2015-06-11 18:00:00,20.120001000000002,15.18,-99999,4757.853,2834.178,2856.1252250000007,4876.047599999998
2015-06-11 19:00:00,20.18,15.27,-99999,4524.311,2864.8559999999998,2858.0532250000006,4780.174549999998
2015-06-11 20:00:00,20.190001000000002,15.33,-99999,4655.4038,2851.3511,2853.5707500000008,4705.938949999998
2015-06-11 21:00:00,20.190001000000002,15.39,-99999,4560.999,2861.7771,2853.0405500000006,4624.641699999998
2015-06-11 22:00:00,20.219998999999998,15.41,-99999,4242.0029,2868.5559,2861.6350250000005,4495.679174999998
2015-06-11 23:00:00,20.25,15.42,-99999,4120.7661,2858.0381,2859.9305500000005,4394.792949999999
2015-06-12 00:00:00,20.219998999999998,15.42,3.24,4390.6738,2845.5569,2858.4820000000004,4328.610449999999
2015-06-12 01:00:00,20.219998999999998,15.42,3.24,4450.1538,2882.0559,2863.5517000000004,4300.899149999999
2015-06-12 02:00:00,20.219998999999998,15.42,3.24,4409.6001,2842.853,2857.125975000001,4342.798449999999
2015-06-12 03:00:00,20.200001,15.4,3.24,4600.2051,2878.0,2862.116450000001,4462.658199999999
2015-06-12 04:00:00,20.190001000000002,15.39,3.24,4751.6069,2863.1311,2866.510000000001,4552.8914749999985
2015-06-12 05:00:00,20.190001000000002,15.37,3.24,4913.8242,2863.1311,2861.7788000000014,4668.809074999998
2015-06-12 06:00:00,20.219998999999998,15.35,3.24,4893.5469,2888.8149,2873.2692750000015,4789.795774999999
2015-06-12 07:00:00,20.24,15.35,3.24,4793.5132,2846.9089,2865.4965000000016,4838.122799999999
2015-06-12 08:00:00,20.219998999999998,15.32,3.24,4859.752,2876.6489,2868.8759500000015,4865.159075
2015-06-12 09:00:00,20.219998999999998,15.31,3.24,5142.2798,2886.1111,2874.6209500000014,4922.272975
2015-06-12 10:00:00,20.190001000000002,15.3,3.24,5271.7681,2873.7891,2870.8645000000015,5016.828275
2015-06-12 11:00:00,20.190001000000002,15.31,3.24,5275.6831,2877.031,2878.395025000001,5137.37075
2015-06-12 12:00:00,20.18,15.33,14.76,5254.0552,2885.135,2880.516550000001,5235.94655
2015-06-12 13:00:00,20.17,15.37,14.76,5301.1411,2870.7749,2876.6825000000013,5275.661875
2015-06-12 14:00:00,20.16,15.43,14.76,5149.6138,2851.74,2871.170225000001,5245.123299999999
2015-06-12 15:00:00,20.15,15.52,14.76,4955.3809,2874.3101,2870.4900000000016,5165.04775
2015-06-12 16:00:00,20.15,15.6,14.76,5091.8911,2890.54,2871.8412500000018,5124.506725
2015-06-12 17:00:00,20.15,15.68,14.76,5096.3882,2863.002,2869.898025000002,5073.3185
