DateTime.EST,O2_30cm.percent.0-100,O2_140cm.percent.0-100,ApogeeTemp_30cm.deg.C,ApogeeTemp_140cm.deg.C,PRISM_precip.mm,CO2_30cm.ppm,CO2_140cm.ppm
2017-02-20 15:00:00,-99999,17.559998999999998,2.6889998999999998,3.773,-99999,8.1081095,4835.1362
2017-02-20 16:00:00,18.030001000000002,17.57,2.688,3.7709998999999996,-99999,2.702703,4846.6221
2017-02-20 17:00:00,18.51,17.57,2.7049999,3.766,-99999,5.405406,4867.5679
2017-02-20 18:00:00,18.57,17.549999,2.7039999999999997,3.7869998999999996,-99999,8.1081095,4905.4058
2017-02-20 19:00:00,18.540001,17.549999,2.697,3.78,-99999,3.3783790999999996,4866.8931
2017-02-20 20:00:00,18.540001,17.549999,2.7190001,3.78,-99999,8.1081095,4810.812
2017-02-20 21:00:00,18.57,17.549999,2.74,3.78,-99999,2.702703,4814.1899
2017-02-20 22:00:00,18.57,17.549999,2.766,3.7839998999999995,-99999,8.1081095,4787.1631
2017-02-20 23:00:00,18.57,17.549999,2.79,3.7869998999999996,-99999,7.432433099999999,4760.1362
2017-02-21 00:00:00,18.58,17.559998999999998,2.8369999,3.7909998999999996,0.0,4.0540538,4773.6489
2017-02-21 01:00:00,18.559998999999998,17.559998999999998,2.8829999,3.793,0.0,8.1081095,4762.8379
2017-02-21 02:00:00,18.58,17.59,2.9100001,3.793,0.0,39.18919,4752.0269
2017-02-21 03:00:00,18.559998999999998,17.59,2.9539999999999997,3.8,0.0,71.621628,4766.8931
2017-02-21 04:00:00,18.549999,17.559998999999998,2.9760001,3.8,0.0,112.1622,4858.1079
2017-02-21 05:00:00,18.549999,17.559998999999998,2.9990001,3.8010001000000004,0.0,148.6487,4881.082
2017-02-21 06:00:00,18.540001,17.559998999999998,3.0250001,3.806,0.0,164.8672,4930.4741
2017-02-21 07:00:00,18.52,17.540001,3.036,3.806,0.0,184.4761,4992.3428
2017-02-21 08:00:00,18.52,17.549999,3.0420001,3.806,0.0,204.0818,5249.3608
2017-02-21 09:00:00,18.51,17.540001,3.0450001,3.8099998999999998,0.0,227.7509,5249.7598
2017-02-21 10:00:00,18.49,17.530001000000002,3.04,3.8199998999999996,0.0,248.0452,5163.666
2017-02-21 11:00:00,18.49,17.52,3.0380001,3.819,0.0,273.72391,5379.8579
2017-02-21 12:00:00,18.48,17.52,3.0320001,3.8239998999999996,0.0,306.8696,5277.6162
2017-02-21 13:00:00,18.48,17.52,3.0150001,3.8289999999999997,0.0,296.6795,5444.3052
2017-02-21 14:00:00,18.49,17.52,3.0039999,3.8280001000000006,0.0,252.71381,5432.6709
2017-02-21 15:00:00,18.49,17.5,2.987,3.8210001000000005,0.0,89.864868,5367.5688
2017-02-21 16:00:00,18.5,17.48,2.9749999,3.842,0.0,2.702703,5448.6489
2017-02-21 17:00:00,18.52,17.469998999999998,2.9610000000000003,3.8340001000000004,0.0,2.702703,5437.8379
2017-02-21 18:00:00,18.52,17.450001,2.9430001,3.8310001000000002,0.0,8.1081095,5378.3779
2017-02-21 19:00:00,18.48,17.43,2.9410000000000003,3.852,0.0,2.702703,5416.2168
2017-02-21 20:00:00,18.48,17.42,2.9410000000000003,3.852,0.0,8.1081095,5362.1631
2017-02-21 21:00:00,18.49,17.42,2.964,3.8529998999999995,0.0,2.702703,5356.7568
2017-02-21 22:00:00,18.49,17.41,2.98,3.852,0.0,8.1081095,5362.1631
2017-02-21 23:00:00,18.49,17.42,2.9990001,3.8559998999999996,0.0,8.1081095,5275.6758
2017-02-22 00:00:00,18.48,17.42,3.0339999,3.858,0.0,3.3783790999999996,5329.73
2017-02-22 01:00:00,18.459999,17.42,3.056,3.858,0.0,8.1081095,5416.2168
2017-02-22 02:00:00,18.459999,17.41,3.0780001,3.8800001,0.0,3.3783790999999996,5378.3779
2017-02-22 03:00:00,18.43,17.389999,3.1099999,3.8800001,0.0,8.1081095,5345.9468
2017-02-22 04:00:00,18.4,17.379998999999998,3.1210001,3.8800001,0.0,9.4594603,5313.5151
2017-02-22 05:00:00,18.389999,17.370001000000002,3.1429999,3.8800001,0.0,41.891899,5400.001
2017-02-22 06:00:00,18.370001000000002,17.370001000000002,3.1639999999999997,3.885,0.0,89.18920899999999,5378.3779
2017-02-22 07:00:00,18.370001000000002,17.35,3.1860001000000002,3.891,0.0,118.9189,5448.6489
2017-02-22 08:00:00,18.360001,17.35,3.2079999,3.9019999999999997,0.0,147.2973,5400.001
2017-02-22 09:00:00,18.35,17.34,3.2079999,3.9019999999999997,0.0,159.4595,5356.7568
2017-02-22 10:00:00,18.35,17.35,3.2290001,3.9019999999999997,0.0,172.2973,5291.8921
2017-02-22 11:00:00,18.35,17.35,3.2290001,3.9019999999999997,0.0,198.6487,5329.73
2017-02-22 12:00:00,18.35,17.35,3.2509999,3.9019999999999997,0.0,230.4054,5427.0278
2017-02-22 13:00:00,18.360001,17.35,3.2509999,3.9130001000000005,0.0,231.0811,5389.1899
2017-02-22 14:00:00,18.370001000000002,17.35,3.2720001,3.9230001000000003,0.0,200.6757,5324.3242
2017-02-22 15:00:00,18.35,17.34,3.2889999999999997,3.918,0.0,179.05409,5335.1362
2017-02-22 16:00:00,18.34,17.33,3.2880001000000005,3.918,0.0,116.8919,5464.8652
2017-02-22 17:00:00,18.34,17.299999,3.3089999999999997,3.938,0.0,52.702709,5351.3521
2017-02-22 18:00:00,18.34,17.299999,3.325,3.9319998999999997,0.0,8.1081095,5340.541
