DateTime.EST,O2_20cm.percent.0-100,ApogeeTemp_20cm.deg.C,PRISM_precip.mm,CO2_20cm.ppm
2016-08-16 12:00:00,20.690001000000002,-99999,-99999,2985.074
2016-08-16 13:00:00,20.610001,-99999,-99999,2957.937
2016-08-16 14:00:00,20.610001,-99999,-99999,2887.4031
2016-08-16 15:00:00,20.58,-99999,-99999,2854.9829
2016-08-16 16:00:00,20.58,-99999,-99999,2795.116
2016-08-16 17:00:00,20.549999,-99999,-99999,2854.8181
2016-08-16 18:00:00,20.549999,-99999,-99999,2822.2529
2016-08-16 19:00:00,20.549999,-99999,-99999,2811.3979
2016-08-16 20:00:00,20.58,-99999,-99999,2767.9790000000003
2016-08-16 21:00:00,20.629998999999998,-99999,-99999,2789.6890000000003
2016-08-16 22:00:00,20.629998999999998,-99999,-99999,2849.3899
2016-08-16 23:00:00,20.66,-99999,-99999,2865.6721
2016-08-17 00:00:00,20.66,-99999,5.24,2860.2451
2016-08-17 01:00:00,20.66,-99999,5.24,2957.938
2016-08-17 02:00:00,20.66,-99999,5.24,2941.656
2016-08-17 03:00:00,20.77,-99999,5.24,3012.2119
2016-08-17 04:00:00,20.719998999999998,-99999,5.24,3050.2041
2016-08-17 05:00:00,20.66,-99999,5.24,3077.3411
2016-08-17 06:00:00,20.68,-99999,5.24,3169.6069
2016-08-17 07:00:00,20.719998999999998,-99999,5.24,3158.752
2016-08-17 08:00:00,20.75,-99999,5.24,3191.3169
2016-08-17 09:00:00,20.77,-99999,5.24,3245.5911
2016-08-17 10:00:00,20.74,-99999,5.24,3261.873
2016-08-17 11:00:00,20.77,-99999,5.24,3213.0271
2016-08-17 12:00:00,20.75,-99999,0.93,3213.0271
2016-08-17 13:00:00,20.719998999999998,-99999,0.93,3234.7361
2016-08-17 14:00:00,20.700001,-99999,0.93,3245.5911
2016-08-17 15:00:00,20.66,-99999,0.93,3202.1721
2016-08-17 16:00:00,20.629998999999998,-99999,0.93,3175.0349
2016-08-17 17:00:00,20.610001,-99999,0.93,3126.188
2016-08-17 18:00:00,20.629998999999998,-99999,0.93,3126.188
2016-08-17 19:00:00,20.629998999999998,-99999,0.93,3131.615
2016-08-17 20:00:00,20.629998999999998,-99999,0.93,3169.6069
2016-08-17 21:00:00,20.66,-99999,0.93,3131.615
2016-08-17 22:00:00,20.66,-99999,0.93,3120.76
2016-08-17 23:00:00,20.690001000000002,-99999,0.93,3175.0349
2016-08-18 00:00:00,20.690001000000002,-99999,0.93,3169.6069
2016-08-18 01:00:00,20.700001,-99999,0.93,3115.333
2016-08-18 02:00:00,20.73,-99999,0.93,3202.1721
2016-08-18 03:00:00,20.719998999999998,-99999,0.93,3153.325
2016-08-18 04:00:00,20.690001000000002,-99999,0.93,3207.5991
2016-08-18 05:00:00,20.719998999999998,-99999,0.93,3175.0349
2016-08-18 06:00:00,20.870001000000002,-99999,0.93,3158.752
2016-08-18 07:00:00,20.76,-99999,0.93,3191.3169
2016-08-18 08:00:00,20.799999,-99999,0.93,3175.0349
2016-08-18 09:00:00,20.77,-99999,0.93,3213.0271
2016-08-18 10:00:00,20.77,-99999,0.93,3175.0349
2016-08-18 11:00:00,20.75,-99999,0.93,3109.906
2016-08-18 12:00:00,20.75,-99999,0.0,3082.7690000000002
2016-08-18 13:00:00,20.690001000000002,-99999,0.0,3006.7849
2016-08-18 14:00:00,20.66,-99999,0.0,3017.6389
2016-08-18 15:00:00,20.66,-99999,0.0,2963.5271
2016-08-18 16:00:00,20.629998999999998,-99999,0.0,2925.4961
2016-08-18 17:00:00,20.629998999999998,-99999,0.0,2865.677
2016-08-18 18:00:00,20.610001,-99999,0.0,2854.8181
2016-08-18 19:00:00,20.610001,-99999,0.0,2838.5349
2016-08-18 20:00:00,20.610001,-99999,0.0,2784.261
2016-08-18 21:00:00,20.66,-99999,0.0,2849.3899
2016-08-18 22:00:00,20.66,-99999,0.0,2843.9629
2016-08-18 23:00:00,20.690001000000002,-99999,0.0,2854.8181
2016-08-19 00:00:00,20.719998999999998,-99999,0.0,2876.5271
2016-08-19 01:00:00,20.719998999999998,-99999,0.0,2898.2371
2016-08-19 02:00:00,20.75,-99999,0.0,2860.2451
2016-08-19 03:00:00,20.75,-99999,0.0,2930.801
2016-08-19 04:00:00,20.77,-99999,0.0,2952.511
2016-08-19 05:00:00,20.790001,-99999,0.0,2936.2290000000003
2016-08-19 06:00:00,20.84,-99999,0.0,2952.511
2016-08-19 07:00:00,20.799999,-99999,0.0,3001.3569
2016-08-19 08:00:00,20.860001,-99999,0.0,2990.5029
2016-08-19 09:00:00,20.83,-99999,0.0,2957.938
