DateTime,VWC12cm,Temp12cm,EC12cm,VWC37cm,Temp37cm,EC37cm,VWC57cm,Temp57cm,EC57cm,Voltage12cm,Voltage23cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[mV],[mV]
1/1/2013 0:00,0.110,-0.2,0.01,0.109,1.0,0.01,0.174,2.6,0.03,577.9,584.5
1/1/2013 0:10,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.02,578.6,583.7
1/1/2013 0:20,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.03,578.6,585.2
1/1/2013 0:30,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.03,578.6,583.7
1/1/2013 0:40,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.02,578.6,583.7
1/1/2013 0:50,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.03,578.6,584.5
1/1/2013 1:00,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.03,579.3,584.5
1/1/2013 1:10,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.03,580.8,583.7
1/1/2013 1:20,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.02,580.1,583.7
1/1/2013 1:30,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.03,580.1,584.5
1/1/2013 1:40,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,580.1,583.7
1/1/2013 1:50,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,579.3,583.7
1/1/2013 2:00,0.110,-0.1,0.01,0.109,1.0,0.01,0.174,2.6,0.03,580.1,584.5
1/1/2013 2:10,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,579.3,583.7
1/1/2013 2:20,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,580.1,584.5
1/1/2013 2:30,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,580.1,583.7
1/1/2013 2:40,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,580.1,584.5
1/1/2013 2:50,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,580.1,583.7
1/1/2013 3:00,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,578.6,583.7
1/1/2013 3:10,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,577.9,583.7
1/1/2013 3:20,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,577.9,583.7
1/1/2013 3:30,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,577.9,583.7
1/1/2013 3:40,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,577.9,583.0
1/1/2013 3:50,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,577.9,583.0
1/1/2013 4:00,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,577.9,583.7
1/1/2013 4:10,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,578.6,583.0
1/1/2013 4:20,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,578.6,583.0
1/1/2013 4:30,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,577.9,583.7
1/1/2013 4:40,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,578.6,583.7
1/1/2013 4:50,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,577.9,584.5
1/1/2013 5:00,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,578.6,584.5
1/1/2013 5:10,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,577.9,584.5
1/1/2013 5:20,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,578.6,585.2
1/1/2013 5:30,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,579.3,585.2
1/1/2013 5:40,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,579.3,585.2
1/1/2013 5:50,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,579.3,584.5
1/1/2013 6:00,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,580.1,583.0
1/1/2013 6:10,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.02,580.1,583.7
1/1/2013 6:20,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,580.1,583.7
1/1/2013 6:30,0.110,-0.1,0.01,0.109,1.1,0.01,0.174,2.6,0.03,580.1,583.7
