TIMESTAMP,Temp_Avg(2cm),Temp_Avg(10cm),Temp_Avg(30cm),Temp_Avg(60cm),O2_Avg(2cm),O2_Avg(10cm),O2_Avg(30cm),O2_Avg(60cm),CO2_Avg(2cm),CO2_Avg(10cm),CO2_Avg(30cm),CO2_Avg(60cm)
MST,C,C,C,C,%,%,%,%,ppm,ppm,ppm,ppm
1/1/2016 0:00,0.496,0.74,1.587,2.463,12.033,12.488,12.927,11.611,784.367,1513.79,3621.378,3951.59
1/1/2016 0:15,0.495,0.744,1.587,2.463,12.031,12.479,12.917,11.6,790.241,1514.865,3624.031,3968.273
1/1/2016 0:30,0.494,0.745,1.582,2.462,12.023,12.471,12.897,11.595,795.62,1519.326,3614.695,3949.991
1/1/2016 0:45,0.494,0.745,1.577,2.461,12.029,12.475,12.913,11.593,796.441,1524.618,3613.234,3948.347
1/1/2016 1:00,0.492,0.745,1.576,2.462,12.016,12.462,12.895,11.586,799.544,1533.379,3639.883,3949.625
1/1/2016 1:15,0.485,0.744,1.576,2.462,12.007,12.461,12.88,11.573,802.829,1533.927,3647.914,3961.306
1/1/2016 1:30,0.484,0.744,1.576,2.459,12.01,12.463,12.897,11.572,809.492,1542.688,3653.024,3949.808
1/1/2016 1:45,0.484,0.745,1.576,2.455,12.027,12.473,12.932,11.603,805.02,1541.593,3655.397,3951.268
1/1/2016 2:00,0.484,0.744,1.576,2.451,12.039,12.499,12.993,11.642,785.033,1532.01,3654.484,3978.646
1/1/2016 2:15,0.484,0.744,1.576,2.451,12.029,12.488,12.957,11.638,781.748,1535.844,3671.094,3953.458
1/1/2016 2:30,0.484,0.741,1.576,2.451,12.028,12.487,12.945,11.623,778.828,1533.653,3666.896,3935.753
1/1/2016 2:45,0.484,0.736,1.576,2.451,12.029,12.489,12.935,11.62,778.189,1535.205,3648.279,3957.108
1/1/2016 3:00,0.484,0.732,1.575,2.451,12.029,12.474,12.914,11.603,782.934,1538.399,3659.778,3959.664
1/1/2016 3:15,0.481,0.726,1.57,2.451,12.013,12.464,12.877,11.572,796.259,1544.422,3678.395,3975.726
1/1/2016 3:30,0.473,0.724,1.56,2.451,12.03,12.463,12.903,11.586,800.274,1548.346,3674.927,3946.157
1/1/2016 3:45,0.468,0.724,1.556,2.451,12.025,12.465,12.907,11.589,802.647,1549.259,3684.966,3970.798
1/1/2016 4:00,0.463,0.724,1.554,2.451,12.029,12.474,12.933,11.599,804.198,1552.544,3686.061,3953.458
1/1/2016 4:15,0.462,0.724,1.554,2.45,12.032,12.467,12.91,11.596,801.004,1554.096,3687.339,3976.273
1/1/2016 4:30,0.462,0.724,1.554,2.45,12.013,12.463,12.897,11.581,806.936,1558.75,3695.917,3942.689
1/1/2016 4:45,0.462,0.724,1.554,2.45,12.028,12.462,12.92,11.587,804.107,1558.02,3698.108,3962.767
1/1/2016 5:00,0.462,0.724,1.554,2.447,12.03,12.474,12.933,11.608,801.826,1561.671,3701.575,3972.44
1/1/2016 5:15,0.462,0.724,1.554,2.443,12.03,12.485,12.957,11.623,795.255,1555.008,3699.568,3966.417
1/1/2016 5:30,0.462,0.724,1.554,2.441,12.03,12.489,12.963,11.627,791.33,1555.83,3724.026,3965.504
1/1/2016 5:45,0.462,0.724,1.554,2.438,12.03,12.489,12.952,11.624,790.783,1550.263,3711.797,3979.559
1/1/2016 6:00,0.462,0.724,1.554,2.436,12.03,12.489,12.954,11.631,784.851,1551.906,3701.575,3975.543
1/1/2016 6:15,0.462,0.724,1.554,2.431,12.043,12.505,12.998,11.65,781.748,1548.62,3708.511,3963.497
1/1/2016 6:30,0.462,0.724,1.554,2.429,12.057,12.521,13.021,11.669,769.063,1538.399,3717.09,3969.52
1/1/2016 6:45,0.461,0.724,1.554,2.429,12.057,12.516,12.99,11.658,764.591,1532.649,3717.455,3979.741
1/1/2016 7:00,0.457,0.724,1.554,2.429,12.057,12.516,13.004,11.664,764.5,1530.733,3691.537,3972.44
1/1/2016 7:15,0.454,0.724,1.554,2.429,12.057,12.516,12.986,11.653,765.595,1528.543,3688.069,3964.227
1/1/2016 7:30,0.449,0.724,1.554,2.429,12.058,12.516,12.984,11.649,766.416,1526.17,3694.457,3968.972
1/1/2016 7:45,0.443,0.723,1.553,2.428,12.066,12.531,13.02,11.668,764.408,1521.059,3689.894,3991.605
1/1/2016 8:00,0.441,0.723,1.554,2.428,12.079,12.541,13.023,11.678,758.02,1516.405,3677.847,3964.592
1/1/2016 8:15,0.443,0.724,1.554,2.432,12.072,12.533,13.006,11.669,760.21,1513.028,3676.387,3967.33
1/1/2016 8:30,0.454,0.724,1.554,2.444,12.071,12.536,13.002,11.667,763.131,1514.306,3687.704,3970.98
1/1/2016 8:45,0.453,0.721,1.552,2.445,12.078,12.54,13.007,11.668,759.298,1512.846,3673.284,3962.949
1/1/2016 9:00,0.454,0.724,1.564,2.442,12.076,12.536,13.008,11.668,758.385,1509.743,3677.483,3971.71
1/1/2016 9:15,0.45,0.731,1.564,2.439,12.083,12.551,13.042,11.687,757.374,1503.158,3675.806,3962.365
1/1/2016 9:30,0.45,0.734,1.564,2.455,12.083,12.543,13.015,11.674,760.114,1505.996,3656.14,3986.979
1/1/2016 9:45,0.459,0.734,1.577,2.46,12.083,12.537,12.988,11.669,765.061,1509.234,3656.932,3985.651
1/1/2016 10:00,0.471,0.75,1.585,2.473,12.08,12.538,12.982,11.663,771.641,1506.894,3671.337,3981.964
1/1/2016 10:15,0.47,0.749,1.585,2.481,12.078,12.53,12.964,11.653,774.1,1512.084,3660.74,3973.919
1/1/2016 10:30,0.556,0.822,1.677,2.602,12.076,12.527,12.96,11.644,784.861,1515.641,3656.727,3986.504
1/1/2016 10:45,0.621,0.874,1.744,2.654,12.073,12.524,12.968,11.646,788.141,1518.736,3688.267,3982.292
1/1/2016 11:00,0.609,0.863,1.738,2.644,12.06,12.511,12.934,11.622,796.274,1527.356,3666.164,3999.517
1/1/2016 11:15,0.66,0.902,1.789,2.709,12.064,12.514,12.937,11.622,807.852,1532.759,3705.201,3987.761
1/1/2016 11:30,0.672,0.907,1.8,2.705,12.053,12.498,12.906,11.6,822.334,1540.042,3712.761,3992.006
1/1/2016 11:45,0.648,0.887,1.783,2.684,12.041,12.487,12.872,11.562,838.46,1556.255,3691.229,3985.784
1/1/2016 12:00,0.656,0.894,1.789,2.692,12.033,12.479,12.867,11.548,858.834,1568.484,3732.613,3986.509
1/1/2016 12:15,0.692,0.93,1.829,2.748,12.022,12.469,12.832,11.522,877.315,1583.086,3718.074,4003.405
1/1/2016 12:30,0.722,0.951,1.859,2.776,12.028,12.472,12.852,11.527,889.998,1597.57,3728.666,3989.144
1/1/2016 12:45,0.739,0.957,1.874,2.791,12.016,12.46,12.84,11.523,898.544,1609.746,3714.393,3997.271
1/1/2016 13:00,0.745,0.972,1.889,2.805,12.014,12.462,12.832,11.513,909.654,1624.044,3739.164,3996.905
1/1/2016 13:15,0.75,0.968,1.884,2.801,12.013,12.46,12.845,11.522,911.84,1631.877,3749.364,4005.831
1/1/2016 13:30,0.748,0.966,1.882,2.799,12.01,12.46,12.832,11.515,913.844,1649.818,3768.308,4009.656
1/1/2016 13:45,0.747,0.965,1.881,2.798,12.012,12.46,12.841,11.52,917.487,1652.733,3768.672,3996.723
1/1/2016 14:00,0.736,0.957,1.873,2.781,12.01,12.459,12.853,11.537,919.581,1664.117,3788.89,3995.63
1/1/2016 14:15,0.716,0.94,1.854,2.751,12.014,12.462,12.871,11.546,914.512,1666.739,3758.587,4004.109
1/1/2016 14:30,0.697,0.929,1.834,2.731,12.025,12.472,12.916,11.583,906.915,1665.242,3792.09,4017.34
1/1/2016 14:45,0.694,0.923,1.827,2.722,12.026,12.474,12.916,11.595,899.541,1662.643,3783.659,4000.465
1/1/2016 15:00,0.691,0.921,1.824,2.719,12.026,12.472,12.894,11.585,895.384,1671.086,3763.198,4049.342
1/1/2016 15:15,0.687,0.918,1.82,2.715,12.026,12.476,12.916,11.6,895.199,1665.712,3784.848,4009.648
1/1/2016 15:30,0.688,0.915,1.821,2.716,12.028,12.478,12.912,11.606,886.826,1665.711,3787.76,4013.471
1/1/2016 15:45,0.651,0.883,1.78,2.659,12.029,12.479,12.914,11.603,884.069,1666.984,3759.345,4024.472
1/1/2016 16:00,0.591,0.831,1.717,2.591,12.023,12.48,12.909,11.606,883.32,1662.908,3778.268,3999.941
1/1/2016 16:15,0.554,0.808,1.68,2.554,12.028,12.485,12.918,11.611,882.24,1665.482,3800.544,4008.559
1/1/2016 16:30,0.535,0.792,1.655,2.531,12.032,12.488,12.924,11.616,881.1,1662.093,3795.299,4025.02
1/1/2016 16:45,0.519,0.781,1.636,2.512,12.036,12.485,12.915,11.62,880.873,1659.587,3792.873,4025.804
1/1/2016 17:00,0.511,0.775,1.628,2.503,12.026,12.47,12.875,11.591,890.77,1669.26,3786,4012.566
1/1/2016 17:15,0.501,0.762,1.615,2.492,12.035,12.481,12.905,11.605,888.767,1669.446,3774.527,3997.994
1/1/2016 17:30,0.507,0.769,1.614,2.494,12.027,12.473,12.893,11.595,898.682,1669.762,3796.519,4034.771
1/1/2016 17:45,0.495,0.77,1.604,2.481,12.039,12.483,12.924,11.621,897.874,1674.489,3797.733,4039.344
1/1/2016 18:00,0.491,0.757,1.604,2.478,12.035,12.48,12.914,11.615,894.46,1668.722,3796.712,4023.792
1/1/2016 18:15,0.491,0.753,1.604,2.478,12.044,12.498,12.959,11.644,889.557,1667.76,3799.358,4045.414
1/1/2016 18:30,0.491,0.753,1.594,2.478,12.046,12.503,12.951,11.65,876.425,1655.631,3785.499,4032.102
1/1/2016 18:45,0.493,0.755,1.587,2.477,12.047,12.501,12.947,11.647,873.689,1657.455,3794.619,4034.656
1/1/2016 19:00,0.496,0.758,1.588,2.47,12.051,12.5,12.945,11.644,869.676,1650.707,3770.542,4040.31
1/1/2016 19:15,0.497,0.759,1.589,2.464,12.049,12.505,12.945,11.642,866.94,1653.807,3795.531,4020.246
1/1/2016 19:30,0.5,0.762,1.592,2.466,12.046,12.505,12.946,11.64,867.031,1648.427,3790.059,4046.694
1/1/2016 19:45,0.503,0.762,1.594,2.469,12.046,12.505,12.941,11.638,864.113,1648.244,3777.656,4055.084
1/1/2016 20:00,0.503,0.751,1.594,2.469,12.053,12.509,12.957,11.648,861.104,1639.398,3786.229,4017.145
1/1/2016 20:15,0.503,0.743,1.586,2.469,12.055,12.514,12.967,11.652,857.364,1641.587,3774.738,4032.467
1/1/2016 20:30,0.503,0.743,1.575,2.463,12.053,12.509,12.954,11.653,851.71,1634.564,3778.203,4035.932
1/1/2016 20:45,0.51,0.75,1.579,2.458,12.06,12.517,12.974,11.662,850.251,1635.112,3766.53,4063.11
1/1/2016 21:00,0.514,0.755,1.585,2.46,12.05,12.502,12.921,11.625,855.449,1634.747,3761.24,4027.177
1/1/2016 21:15,0.513,0.755,1.585,2.46,12.047,12.497,12.917,11.608,862.389,1638.959,3777.148,4035.974
1/1/2016 21:30,0.508,0.755,1.585,2.46,12.04,12.488,12.906,11.604,867.324,1638.695,3790.542,4033.709
1/1/2016 21:45,0.496,0.753,1.585,2.46,12.046,12.498,12.933,11.619,870.215,1638.872,3774.67,4050.414
