DateTime,VWC10cm,Temp10cm,EC10cm,Voltage11cm,Voltage23cm
[MST],[m3/m3],[degC],[dS/m],[mV],[mV]
1/1/2018 0:00,0.1,0.1,0.01,435.79,701.66
1/1/2018 0:10,0.099,0.1,0.01,435.79,701.66
1/1/2018 0:20,0.099,0.1,0.01,435.79,701.66
1/1/2018 0:30,0.099,0.1,0.01,435.06,701.66
1/1/2018 0:40,0.099,0.1,0.01,435.06,702.39
1/1/2018 0:50,0.099,0.1,0.01,435.06,702.39
1/1/2018 1:00,0.099,0.1,0.01,435.06,702.39
1/1/2018 1:10,0.098,0.1,0.01,435.06,702.39
1/1/2018 1:20,0.098,0.1,0.01,434.33,703.13
1/1/2018 1:30,0.098,0.1,0.01,435.06,702.39
1/1/2018 1:40,0.098,0.1,0,434.33,702.39
1/1/2018 1:50,0.098,0.1,0.01,434.33,702.39
1/1/2018 2:00,0.098,0.1,0.01,434.33,702.39
1/1/2018 2:10,0.098,0.1,0.01,433.59,703.13
1/1/2018 2:20,0.098,0,0.01,432.86,702.39
1/1/2018 2:30,0.098,0,0.01,432.86,702.39
1/1/2018 2:40,0.098,0,0.01,432.86,702.39
1/1/2018 2:50,0.097,0,0.01,432.86,702.39
1/1/2018 3:00,0.097,0,0.01,432.86,702.39
1/1/2018 3:10,0.097,0,0.01,432.13,702.39
1/1/2018 3:20,0.097,0,0.01,432.86,702.39
1/1/2018 3:30,0.097,0,0.01,432.13,702.39
1/1/2018 3:40,0.097,-0.1,0.01,432.13,702.39
1/1/2018 3:50,0.096,-0.1,0.01,432.13,703.13
1/1/2018 4:00,0.096,-0.1,0.01,431.4,703.13
1/1/2018 4:10,0.096,-0.1,0.01,431.4,703.13
1/1/2018 4:20,0.096,-0.1,0.01,430.66,703.13
1/1/2018 4:30,0.096,-0.1,0.01,429.93,703.86
1/1/2018 4:40,0.096,-0.1,0.01,429.93,703.13
1/1/2018 4:50,0.096,-0.1,0.01,430.66,703.13
1/1/2018 5:00,0.096,-0.1,0.01,430.66,703.13
1/1/2018 5:10,0.096,-0.2,0.01,429.93,703.13
1/1/2018 5:20,0.095,-0.2,0.01,429.93,703.13
1/1/2018 5:30,0.095,-0.2,0.01,429.2,703.13
1/1/2018 5:40,0.095,-0.2,0,429.2,703.13
1/1/2018 5:50,0.095,-0.2,0.01,429.2,703.13
1/1/2018 6:00,0.095,-0.2,0.01,429.2,703.13
1/1/2018 6:10,0.095,-0.2,0.01,428.47,703.86
1/1/2018 6:20,0.095,-0.3,0.01,428.47,703.86
1/1/2018 6:30,0.095,-0.3,0.01,428.47,703.86
1/1/2018 6:40,0.094,-0.3,0.01,428.47,703.86
1/1/2018 6:50,0.094,-0.3,0,428.47,703.86
1/1/2018 7:00,0.094,-0.3,0,428.47,703.86
1/1/2018 7:10,0.094,-0.3,0.01,428.47,703.86
1/1/2018 7:20,0.094,-0.3,0.01,427.73,703.86
1/1/2018 7:30,0.094,-0.3,0.01,427.73,703.86
1/1/2018 7:40,0.094,-0.4,0.01,427.73,704.59
1/1/2018 7:50,0.094,-0.4,0.01,427,703.86
1/1/2018 8:00,0.094,-0.4,0.01,427.73,703.86
1/1/2018 8:10,0.094,-0.4,0.01,427.73,703.86
1/1/2018 8:20,0.094,-0.4,0.01,427.73,703.86
1/1/2018 8:30,0.094,-0.4,0.01,427,704.59
1/1/2018 8:40,0.094,-0.4,0.01,426.27,703.86
1/1/2018 8:50,0.093,-0.4,0.01,426.27,704.59
1/1/2018 9:00,0.093,-0.5,0.01,426.27,704.59
1/1/2018 9:10,0.094,-0.5,0.01,425.54,704.59
1/1/2018 9:20,0.093,-0.5,0.01,425.54,704.59
1/1/2018 9:30,0.093,-0.5,0.01,424.8,704.59
1/1/2018 9:40,0.093,-0.5,0.01,424.8,704.59
1/1/2018 9:50,0.093,-0.5,0.01,424.8,704.59
1/1/2018 10:00,0.093,-0.5,0.01,424.8,704.59
1/1/2018 10:10,0.093,-0.5,0.01,424.07,704.59
1/1/2018 10:20,0.093,-0.5,0.01,424.07,704.59
1/1/2018 10:30,0.093,-0.5,0.01,423.34,704.59
1/1/2018 10:40,0.093,-0.4,0.01,422.61,704.59
1/1/2018 10:50,0.093,-0.4,0.01,422.61,704.59
1/1/2018 11:00,0.094,-0.4,0.01,422.61,704.59
1/1/2018 11:10,0.094,-0.4,0.01,421.88,704.59
1/1/2018 11:20,0.094,-0.4,0.01,421.88,704.59
1/1/2018 11:30,0.094,-0.3,0.01,421.14,704.59
1/1/2018 11:40,0.094,-0.3,0.01,421.14,704.59
1/1/2018 11:50,0.094,-0.3,0.01,421.14,704.59
1/1/2018 12:00,0.094,-0.3,0.01,420.41,705.32
1/1/2018 12:10,0.094,-0.3,0.01,420.41,704.59
1/1/2018 12:20,0.094,-0.3,0.01,420.41,704.59
1/1/2018 12:30,0.094,-0.3,0.01,420.41,704.59
1/1/2018 12:40,0.094,-0.2,0.01,419.68,704.59
1/1/2018 12:50,0.094,-0.2,0.01,419.68,704.59
1/1/2018 13:00,0.094,-0.2,0.01,419.68,704.59
1/1/2018 13:10,0.094,-0.2,0.01,419.68,703.86
1/1/2018 13:20,0.094,-0.2,0.01,418.95,704.59
1/1/2018 13:30,0.094,-0.2,0.01,418.21,703.86
1/1/2018 13:40,0.095,-0.2,0.01,418.21,703.86
1/1/2018 13:50,0.095,-0.2,0,418.21,703.86
1/1/2018 14:00,0.095,-0.1,0.01,418.21,703.86
1/1/2018 14:10,0.095,-0.1,0.01,418.21,704.59
1/1/2018 14:20,0.095,-0.1,0.01,418.21,703.86
1/1/2018 14:30,0.095,-0.1,0.01,417.48,703.86
1/1/2018 14:40,0.095,-0.1,0.01,418.21,703.86
1/1/2018 14:50,0.095,-0.1,0.01,417.48,703.86
1/1/2018 15:00,0.095,-0.1,0.01,416.75,703.86
1/1/2018 15:10,0.095,-0.1,0.01,417.48,703.13
1/1/2018 15:20,0.095,-0.1,0.01,417.48,703.86
1/1/2018 15:30,0.096,-0.1,0.01,417.48,703.13
1/1/2018 15:40,0.096,-0.1,0.01,417.48,703.86
1/1/2018 15:50,0.096,-0.1,0.01,417.48,703.13
1/1/2018 16:00,0.096,-0.1,0.01,417.48,703.13
1/1/2018 16:10,0.096,0,0.01,416.75,703.13
1/1/2018 16:20,0.096,0,0.01,417.48,702.39
1/1/2018 16:30,0.096,0,0.01,416.75,702.39
1/1/2018 16:40,0.096,0,0.01,417.48,703.13
1/1/2018 16:50,0.096,0,0.01,416.75,702.39
1/1/2018 17:00,0.096,0,0.01,416.02,702.39
1/1/2018 17:10,0.097,0,0.01,416.02,702.39
1/1/2018 17:20,0.097,0,0.01,416.02,702.39
1/1/2018 17:30,0.097,0,0.01,416.02,702.39
1/1/2018 17:40,0.097,0,0.01,415.28,702.39
1/1/2018 17:50,0.097,0,0.01,415.28,702.39
1/1/2018 18:00,0.097,0,0.01,415.28,702.39
1/1/2018 18:10,0.097,0.1,0.01,415.28,702.39
1/1/2018 18:20,0.097,0.1,0.01,414.55,702.39
1/1/2018 18:30,0.097,0.1,0.01,414.55,701.66
1/1/2018 18:40,0.097,0.1,0.01,414.55,701.66
1/1/2018 18:50,0.097,0.1,0.01,414.55,701.66
1/1/2018 19:00,0.098,0.1,0.01,414.55,702.39
