DateTime,VWC10cm,Temp10cm,EC10cm,VWC38.5cm,Temp38.5cm,EC38.5cm,VWC62cm,Temp62cm,EC62cm,Voltage11cm,Voltage40cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[mV],[mV]
1/1/2011 0:00,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 0:10,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 0:20,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 0:30,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 0:40,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 0:50,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 1:00,0.116,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 1:10,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,739
1/1/2011 1:20,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 1:30,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 1:40,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 1:50,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 2:00,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 2:10,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 2:20,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 2:30,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 2:40,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,737.5
1/1/2011 2:50,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 3:00,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 3:10,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 3:20,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,739
1/1/2011 3:30,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 3:40,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 3:50,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 4:00,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 4:10,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 4:20,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 4:30,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 4:40,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 4:50,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 5:00,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 5:10,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 5:20,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 5:30,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
1/1/2011 5:40,0.117,0.3,0.01,0.202,1.2,0.03,0.233,2,0.07,0,738.3
