DateTime,VWC10cm,Temp10cm,EC10cm,VWC62cm,Temp62cm,EC62cm,WP11cm,WP40cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[kPa],[kPa]
1/1/2017 0:00,0.201,1.3,0.02,0.194,3.2,0.07,-11.81,-9999
1/1/2017 0:10,0.201,1.3,0.02,0.194,3.2,0.07,-11.81,-9999
1/1/2017 0:20,0.201,1.3,0.02,0.194,3.2,0.07,-11.85,-9999
1/1/2017 0:30,0.201,1.3,0.01,0.194,3.2,0.07,-11.85,-9999
1/1/2017 0:40,0.201,1.3,0.02,0.194,3.2,0.08,-11.85,-9999
1/1/2017 0:50,0.201,1.3,0.02,0.194,3.2,0.07,-11.81,-9999
1/1/2017 1:00,0.201,1.3,0.02,0.194,3.2,0.07,-11.81,-9999
1/1/2017 1:10,0.201,1.3,0.02,0.194,3.2,0.07,-11.85,-9999
1/1/2017 1:20,0.201,1.3,0.02,0.194,3.2,0.07,-11.81,-9999
1/1/2017 1:30,0.201,1.3,0.02,0.194,3.2,0.07,-11.85,-9999
1/1/2017 1:40,0.201,1.3,0.02,0.194,3.2,0.07,-11.85,-9999
1/1/2017 1:50,0.201,1.3,0.02,0.194,3.2,0.07,-11.89,-9999
1/1/2017 2:00,0.201,1.3,0.02,0.194,3.2,0.08,-11.85,-9999
1/1/2017 2:10,0.201,1.3,0.02,0.194,3.2,0.07,-11.81,-9999
1/1/2017 2:20,0.201,1.3,0.02,0.194,3.2,0.07,-11.85,-9999
1/1/2017 2:30,0.201,1.3,0.02,0.194,3.2,0.08,-11.85,-9999
1/1/2017 2:40,0.201,1.3,0.02,0.194,3.2,0.07,-11.74,-9999
1/1/2017 2:50,0.201,1.3,0.02,0.194,3.2,0.08,-11.81,-9999
1/1/2017 3:00,0.201,1.3,0.02,0.194,3.2,0.08,-11.85,-9999
1/1/2017 3:10,0.201,1.3,0.02,0.194,3.2,0.07,-11.85,-9999
1/1/2017 3:20,0.201,1.3,0.02,0.194,3.2,0.07,-11.74,-9999
1/1/2017 3:30,0.201,1.3,0.02,0.194,3.2,0.07,-11.78,-9999
1/1/2017 3:40,0.201,1.3,0.02,0.194,3.2,0.08,-11.81,-9999
1/1/2017 3:50,0.201,1.3,0.02,0.194,3.2,0.07,-11.78,-9999
1/1/2017 4:00,0.201,1.3,0.02,0.194,3.2,0.08,-11.78,-9999
1/1/2017 4:10,0.201,1.3,0.02,0.194,3.2,0.08,-11.81,-9999
1/1/2017 4:20,0.201,1.3,0.02,0.194,3.2,0.07,-11.78,-9999
1/1/2017 4:30,0.201,1.3,0.02,0.194,3.2,0.07,-11.74,-9999
1/1/2017 4:40,0.201,1.3,0.02,0.194,3.2,0.07,-11.78,-9999
1/1/2017 4:50,0.201,1.3,0.02,0.194,3.2,0.08,-11.74,-9999
1/1/2017 5:00,0.201,1.3,0.02,0.194,3.2,0.07,-11.74,-9999
1/1/2017 5:10,0.201,1.3,0.02,0.194,3.2,0.07,-11.78,-9999
1/1/2017 5:20,0.201,1.3,0.02,0.194,3.2,0.07,-11.78,-9999
1/1/2017 5:30,0.201,1.3,0.02,0.194,3.2,0.07,-11.78,-9999
1/1/2017 5:40,0.201,1.3,0.02,0.194,3.2,0.07,-11.66,-9999
1/1/2017 5:50,0.201,1.3,0.02,0.194,3.2,0.08,-11.66,-9999
1/1/2017 6:00,0.201,1.3,0.02,0.194,3.2,0.08,-11.7,-9999
1/1/2017 6:10,0.201,1.3,0.02,0.194,3.2,0.07,-11.66,-9999
1/1/2017 6:20,0.201,1.3,0.02,0.194,3.2,0.07,-11.66,-9999
1/1/2017 6:30,0.201,1.3,0.01,0.194,3.2,0.08,-11.7,-9999
1/1/2017 6:40,0.201,1.3,0.02,0.194,3.2,0.08,-11.74,-9999
1/1/2017 6:50,0.201,1.3,0.02,0.194,3.2,0.07,-11.66,-9999
1/1/2017 7:00,0.201,1.3,0.02,0.194,3.2,0.08,-11.66,-9999
1/1/2017 7:10,0.201,1.3,0.02,0.194,3.2,0.07,-11.62,-9999
1/1/2017 7:20,0.201,1.3,0.02,0.194,3.2,0.07,-11.66,-9999
1/1/2017 7:30,0.201,1.3,0.02,0.194,3.2,0.08,-11.66,-9999
