DateTime,VWC10cm,Temp10cm,EC10cm,VWC38.5cm,Temp38.5cm,EC38.5cm,VWC62cm,Temp62cm,EC62cm,WP11cm,WP40cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[kPa],[kPa]
1/1/2014 0:00,0.08,-0.2,0.01,0.264,1.5,0.04,0.263,2.3,0.13,-9.95,-122.49
1/1/2014 0:10,0.08,-0.2,0.01,0.264,1.5,0.04,0.263,2.3,0.13,-9.95,-122.49
1/1/2014 0:20,0.08,-0.2,0.01,0.264,1.5,0.04,0.262,2.3,0.12,-10,-122.49
1/1/2014 0:30,0.08,-0.2,0.01,0.264,1.5,0.04,0.262,2.3,0.13,-9.95,-122.49
1/1/2014 0:40,0.08,-0.2,0.01,0.264,1.5,0.04,0.262,2.3,0.13,-9.97,-122.49
1/1/2014 0:50,0.08,-0.2,0.01,0.264,1.5,0.04,0.262,2.3,0.13,-9.97,-123.53
1/1/2014 1:00,0.08,-0.3,0.01,0.264,1.5,0.04,0.262,2.3,0.13,-9.95,-123.53
1/1/2014 1:10,0.08,-0.3,0.01,0.264,1.5,0.04,0.262,2.3,0.13,-9.95,-123.53
1/1/2014 1:20,0.079,-0.3,0.01,0.264,1.5,0.04,0.262,2.3,0.13,-9.97,-123.53
1/1/2014 1:30,0.079,-0.3,0.01,0.264,1.5,0.04,0.262,2.3,0.13,-9.97,-122.49
1/1/2014 1:40,0.079,-0.4,0.01,0.264,1.5,0.04,0.262,2.3,0.13,-9.92,-123.53
1/1/2014 1:50,0.079,-0.4,0.01,0.264,1.5,0.04,0.261,2.3,0.13,-9.92,-123.53
1/1/2014 2:00,0.079,-0.4,0.01,0.264,1.5,0.04,0.261,2.3,0.13,-9.97,-123.53
1/1/2014 2:10,0.079,-0.5,0.01,0.264,1.5,0.04,0.261,2.3,0.12,-9.97,-123.53
1/1/2014 2:20,0.078,-0.5,0.01,0.264,1.5,0.04,0.261,2.3,0.13,-9.97,-123.53
1/1/2014 2:30,0.078,-0.5,0.01,0.264,1.5,0.04,0.261,2.3,0.13,-9.95,-123.53
1/1/2014 2:40,0.078,-0.5,0.01,0.264,1.5,0.04,0.261,2.3,0.13,-9.95,-123.53
1/1/2014 2:50,0.078,-0.6,0.01,0.264,1.5,0.04,0.261,2.3,0.12,-10,-124.58
1/1/2014 3:00,0.078,-0.6,0.01,0.263,1.5,0.04,0.261,2.3,0.12,-9.97,-125.64
1/1/2014 3:10,0.078,-0.6,0.01,0.263,1.5,0.04,0.261,2.3,0.13,-9.95,-123.53
1/1/2014 3:20,0.078,-0.6,0.01,0.263,1.5,0.04,0.261,2.3,0.13,-9.95,-124.58
1/1/2014 3:30,0.078,-0.7,0.01,0.263,1.5,0.04,0.261,2.3,0.13,-9.95,-124.58
1/1/2014 3:40,0.077,-0.7,0.01,0.264,1.5,0.04,0.26,2.3,0.13,-9.95,-124.58
1/1/2014 3:50,0.077,-0.7,0.01,0.263,1.5,0.04,0.26,2.3,0.13,-9.95,-124.58
1/1/2014 4:00,0.077,-0.8,0.01,0.263,1.6,0.04,0.26,2.3,0.13,-9.95,-124.58
1/1/2014 4:10,0.077,-0.8,0.01,0.263,1.6,0.04,0.26,2.3,0.13,-9.95,-124.58
1/1/2014 4:20,0.077,-0.8,0.01,0.263,1.6,0.04,0.26,2.3,0.13,-9.95,-124.58
1/1/2014 4:30,0.077,-0.8,0.01,0.263,1.5,0.04,0.26,2.3,0.13,-9.95,-124.58
1/1/2014 4:40,0.077,-0.8,0.01,0.263,1.6,0.04,0.26,2.3,0.12,-9.95,-125.64
1/1/2014 4:50,0.077,-0.9,0.01,0.263,1.6,0.04,0.26,2.3,0.13,-9.92,-125.64
1/1/2014 5:00,0.077,-0.9,0.01,0.263,1.6,0.04,0.26,2.3,0.12,-9.92,-126.71
1/1/2014 5:10,0.077,-0.9,0.01,0.263,1.6,0.04,0.26,2.3,0.13,-9.9,-124.58
1/1/2014 5:20,0.076,-0.9,0.01,0.263,1.6,0.04,0.259,2.3,0.13,-9.9,-124.58
1/1/2014 5:30,0.076,-1,0.01,0.263,1.6,0.04,0.259,2.3,0.13,-9.87,-125.64
1/1/2014 5:40,0.076,-1,0.01,0.263,1.6,0.04,0.259,2.3,0.13,-9.92,-125.64
1/1/2014 5:50,0.076,-1,0.01,0.263,1.6,0.04,0.259,2.3,0.12,-9.9,-125.64
1/1/2014 6:00,0.076,-1,0.01,0.263,1.6,0.04,0.259,2.3,0.12,-9.95,-125.64
1/1/2014 6:10,0.076,-1.1,0.01,0.263,1.6,0.04,0.259,2.3,0.13,-9.95,-125.64
1/1/2014 6:20,0.076,-1.1,0.01,0.263,1.6,0.04,0.259,2.3,0.13,-9.92,-125.64
1/1/2014 6:30,0.076,-1.1,0.01,0.263,1.6,0.04,0.259,2.3,0.12,-9.95,-126.71
1/1/2014 6:40,0.076,-1.1,0.01,0.263,1.6,0.04,0.259,2.3,0.12,-9.92,-125.64
