DateTime,VWC10cm,Temp10cm,EC10cm,VWC38.5cm,Temp38.5cm,EC38.5cm,VWC62cm,Temp62cm,EC62cm,Voltage11cm,Voltage40cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[mV],[mV]
1/1/2012 0:00,0.178,0.7,0.01,0.206,1.7,0.03,0.207,2.3,0.07,757.3,785.9
1/1/2012 0:10,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.08,756.6,785.1
1/1/2012 0:20,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,757.3,785.1
1/1/2012 0:30,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 0:40,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,757.3,785.1
1/1/2012 0:50,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,756.6,785.1
1/1/2012 1:00,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,756.6,785.1
1/1/2012 1:10,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,756.6,785.1
1/1/2012 1:20,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,756.6,785.1
1/1/2012 1:30,0.178,0.7,0.01,0.206,1.7,0.03,0.207,2.3,0.08,757.3,785.1
1/1/2012 1:40,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,756.6,785.1
1/1/2012 1:50,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.07,757.3,785.1
1/1/2012 2:00,0.178,0.7,0.01,0.205,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 2:10,0.178,0.7,0.01,0.205,1.7,0.04,0.208,2.3,0.08,757.3,785.1
1/1/2012 2:20,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 2:30,0.178,0.7,0.01,0.205,1.7,0.04,0.208,2.3,0.08,757.3,785.1
1/1/2012 2:40,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 2:50,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,756.6,785.1
1/1/2012 3:00,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.08,757.3,785.1
1/1/2012 3:10,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 3:20,0.178,0.7,0.01,0.205,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 3:30,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,757.3,784.4
1/1/2012 3:40,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 3:50,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,756.6,784.4
1/1/2012 4:00,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 4:10,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.07,756.6,785.1
1/1/2012 4:20,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,756.6,785.1
1/1/2012 4:30,0.178,0.7,0.01,0.206,1.7,0.03,0.207,2.3,0.08,757.3,785.1
1/1/2012 4:40,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 4:50,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.08,757.3,785.1
1/1/2012 5:00,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,756.6,785.1
1/1/2012 5:10,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.08,756.6,785.1
1/1/2012 5:20,0.178,0.7,0.01,0.206,1.7,0.03,0.207,2.3,0.07,757.3,785.1
1/1/2012 5:30,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,756.6,785.1
1/1/2012 5:40,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.08,757.3,785.1
1/1/2012 5:50,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 6:00,0.178,0.7,0.01,0.206,1.7,0.03,0.207,2.3,0.07,757.3,785.1
1/1/2012 6:10,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.07,757.3,785.1
1/1/2012 6:20,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 6:30,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,757.3,784.4
1/1/2012 6:40,0.178,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.07,756.6,785.1
1/1/2012 6:50,0.178,0.7,0.01,0.205,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 7:00,0.179,0.7,0.01,0.205,1.7,0.03,0.207,2.3,0.08,757.3,785.1
1/1/2012 7:10,0.178,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 7:20,0.178,0.7,0.01,0.205,1.7,0.04,0.207,2.3,0.08,756.6,785.9
1/1/2012 7:30,0.178,0.7,0.01,0.205,1.7,0.04,0.207,2.3,0.08,757.3,785.1
1/1/2012 7:40,0.179,0.7,0.01,0.206,1.7,0.04,0.208,2.3,0.07,757.3,785.1
1/1/2012 7:50,0.179,0.7,0.01,0.206,1.7,0.04,0.207,2.3,0.07,756.6,785.1
1/1/2012 8:00,0.179,0.7,0.01,0.205,1.7,0.04,0.207,2.3,0.08,757.3,785.1
