DateTime,VWC10cm,Temp10cm,EC10cm,VWC38.5cm,Temp38.5cm,EC38.5cm,VWC62cm,Temp62cm,EC62cm,WP11cm,WP40cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[kPa],[kPa]
1/1/2015 0:00,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.13,-12.895,-61.687
1/1/2015 0:10,-9999,-9999,-9999,0.219,1.7,0.06,0.219,2.6,0.13,-12.848,-61.687
1/1/2015 0:20,-9999,-9999,-9999,0.219,1.7,0.06,0.219,2.6,0.13,-12.848,-62.141
1/1/2015 0:30,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.13,-12.895,-61.687
1/1/2015 0:40,-9999,-9999,-9999,0.219,1.7,0.06,0.219,2.6,0.13,-12.942,-61.687
1/1/2015 0:50,-9999,-9999,-9999,0.219,1.7,0.06,0.219,2.6,0.13,-12.895,-61.687
1/1/2015 1:00,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.895,-61.687
1/1/2015 1:10,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.895,-62.141
1/1/2015 1:20,-9999,-9999,-9999,0.219,1.7,0.06,0.219,2.6,0.12,-12.848,-62.141
1/1/2015 1:30,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.895,-62.599
1/1/2015 1:40,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.942,-62.141
1/1/2015 1:50,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.895,-62.141
1/1/2015 2:00,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.13,-12.848,-62.141
1/1/2015 2:10,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.13,-12.848,-62.599
1/1/2015 2:20,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.848,-62.599
1/1/2015 2:30,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.13,-12.848,-62.141
1/1/2015 2:40,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.848,-62.599
1/1/2015 2:50,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.848,-62.599
1/1/2015 3:00,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.13,-12.848,-62.599
1/1/2015 3:10,-9999,-9999,-9999,0.218,1.7,0.06,0.219,2.6,0.12,-12.848,-62.599
