DateTime,VWC9.5cm,Temp9.5cm,EC9.5cm,VWC65cm,Temp65cm,EC65cm,Voltage11cm,Voltage45cm
[MST],[m3/m3],[degC],[dS/m],[m3/m3],[degC],[dS/m],[mV],[mV]
1/1/2018 0:00,0.126,0.1,0.01,0.221,2.5,0.05,623.29,829.1
1/1/2018 0:10,0.126,0.1,0.01,0.221,2.5,0.05,623.29,829.83
1/1/2018 0:20,0.126,0.1,0.01,0.221,2.5,0.05,623.29,828.37
1/1/2018 0:30,0.126,0.1,0.01,0.221,2.5,0.05,624.02,828.37
1/1/2018 0:40,0.126,0.1,0.01,0.221,2.5,0.05,623.29,827.64
1/1/2018 0:50,0.126,0.1,0.01,0.221,2.5,0.04,623.29,826.9
1/1/2018 1:00,0.126,0.1,0.01,0.221,2.5,0.05,623.29,826.9
1/1/2018 1:10,0.126,0.1,0.01,0.221,2.5,0.05,624.02,826.17
1/1/2018 1:20,0.126,0.1,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 1:30,0.126,0.1,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 1:40,0.126,0.1,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 1:50,0.126,0.1,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 2:00,0.125,0.1,0.01,0.221,2.5,0.05,623.29,825.44
1/1/2018 2:10,0.126,0.1,0.01,0.221,2.5,0.05,623.29,825.44
1/1/2018 2:20,0.125,0.1,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 2:30,0.125,0.1,0.01,0.221,2.5,0.05,623.29,826.9
1/1/2018 2:40,0.125,0.1,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 2:50,0.125,0.1,0.01,0.221,2.5,0.05,623.29,826.9
1/1/2018 3:00,0.125,0,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 3:10,0.125,0,0.01,0.221,2.5,0.04,622.56,826.17
1/1/2018 3:20,0.125,0,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 3:30,0.125,0,0.01,0.221,2.5,0.04,622.56,825.44
1/1/2018 3:40,0.125,0,0.01,0.221,2.5,0.05,622.56,825.44
1/1/2018 3:50,0.125,0,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 4:00,0.125,0,0.01,0.221,2.5,0.05,623.29,825.44
1/1/2018 4:10,0.125,0,0.01,0.221,2.5,0.05,623.29,826.17
1/1/2018 4:20,0.125,0,0.01,0.221,2.5,0.05,623.29,827.64
1/1/2018 4:30,0.125,0,0.01,0.221,2.5,0.05,623.29,828.37
1/1/2018 4:40,0.125,0,0.01,0.221,2.5,0.05,623.29,829.1
1/1/2018 4:50,0.125,0,0.01,0.221,2.5,0.05,623.29,829.83
1/1/2018 5:00,0.125,0,0.01,0.221,2.5,0.04,622.56,830.57
1/1/2018 5:10,0.125,0,0.01,0.221,2.5,0.05,622.56,828.37
1/1/2018 5:20,0.125,0,0.01,0.221,2.5,0.05,622.56,826.9
1/1/2018 5:30,0.125,0,0.01,0.221,2.5,0.05,622.56,827.64
1/1/2018 5:40,0.125,0,0.01,0.221,2.5,0.05,622.56,829.83
1/1/2018 5:50,0.125,0,0.01,0.221,2.5,0.04,622.56,829.1
1/1/2018 6:00,0.125,0,0.01,0.221,2.5,0.05,622.56,823.97
1/1/2018 6:10,0.125,0,0.01,0.221,2.5,0.05,622.56,824.71
1/1/2018 6:20,0.125,0,0.01,0.221,2.5,0.05,622.56,823.24
1/1/2018 6:30,0.125,0,0.01,0.221,2.5,0.05,621.09,820.31
1/1/2018 6:40,0.124,0,0.01,0.221,2.5,0.05,621.09,822.51
1/1/2018 6:50,0.124,0,0.01,0.221,2.5,0.04,621.09,822.51
1/1/2018 7:00,0.124,-0.1,0.01,0.221,2.5,0.05,621.83,823.24
1/1/2018 7:10,0.124,-0.1,0.01,0.221,2.5,0.05,621.09,824.71
1/1/2018 7:20,0.124,-0.1,0.01,0.221,2.5,0.04,621.09,827.64
1/1/2018 7:30,0.124,-0.1,0.01,0.221,2.5,0.05,621.09,826.9
1/1/2018 7:40,0.124,-0.1,0.01,0.221,2.5,0.05,621.09,826.17
1/1/2018 7:50,0.124,-0.1,0.01,0.221,2.5,0.05,621.83,826.17
1/1/2018 8:00,0.124,-0.1,0.01,0.221,2.5,0.05,622.56,826.17
1/1/2018 8:10,0.124,-0.1,0.01,0.221,2.5,0.05,623.29,826.9
1/1/2018 8:20,0.124,-0.1,0.01,0.221,2.5,0.04,622.56,826.17
1/1/2018 8:30,0.124,-0.1,0.01,0.221,2.5,0.05,622.56,825.44
1/1/2018 8:40,0.124,-0.1,0.01,0.221,2.5,0.05,622.56,824.71
1/1/2018 8:50,0.124,-0.1,0.01,0.221,2.5,0.05,622.56,824.71
1/1/2018 9:00,0.124,-0.1,0.01,0.221,2.5,0.05,622.56,825.44
1/1/2018 9:10,0.123,-0.1,0.01,0.221,2.5,0.05,621.83,824.71
1/1/2018 9:20,0.123,-0.1,0.01,0.221,2.5,0.05,622.56,824.71
1/1/2018 9:30,0.123,-0.1,0.01,0.221,2.5,0.04,622.56,824.71
1/1/2018 9:40,0.123,-0.1,0.01,0.221,2.5,0.05,623.29,823.97
1/1/2018 9:50,0.123,-0.1,0.01,0.221,2.5,0.05,623.29,825.44
1/1/2018 10:00,0.123,-0.1,0.01,0.221,2.5,0.05,623.29,825.44
1/1/2018 10:10,0.123,-0.1,0.01,0.221,2.5,0.05,623.29,824.71
1/1/2018 10:20,0.123,-0.1,0.01,0.221,2.5,0.05,623.29,823.97
1/1/2018 10:30,0.123,-0.1,0.01,0.221,2.5,0.05,623.29,823.97
1/1/2018 10:40,0.123,-0.1,0.01,0.221,2.5,0.05,624.02,823.24
1/1/2018 10:50,0.123,-0.1,0.01,0.221,2.5,0.05,624.02,823.97
1/1/2018 11:00,0.123,-0.1,0.01,0.221,2.5,0.05,624.02,823.97
1/1/2018 11:10,0.123,-0.1,0.01,0.221,2.5,0.05,624.02,823.97
1/1/2018 11:20,0.123,-0.1,0.01,0.221,2.5,0.05,624.02,823.97
1/1/2018 11:30,0.123,-0.1,0.01,0.221,2.5,0.05,624.76,823.24
1/1/2018 11:40,0.123,-0.1,0.01,0.221,2.5,0.05,624.02,823.97
1/1/2018 11:50,0.123,-0.1,0.01,0.221,2.5,0.05,624.02,823.24
